"","x"
"0.005",6.8773872900644
"0.01",7.13039684424478
"0.015",7.3732191268251
"0.02",7.66564294389766
"0.025",8.02477665721879
"0.03",8.32984336821746
"0.035",8.69026474044098
"0.04",9.19768415549277
"0.045",9.8085077812946
"0.05",10.2514580606882
"0.055",10.8708835043425
"0.06",11.6318794030797
"0.065",12.550314233787
"0.07",13.3629140890591
"0.075",14.3288408892585
"0.08",15.2291616481201
"0.085",16.0983481407736
"0.09",17.6345759788072
"0.095",19.2961407551777
"0.1",20.3315789629541
"0.105",21.4049271901534
"0.11",22.1525053109946
"0.115",23.7259766458827
"0.12",25.9071984179914
"0.125",27.2663581298844
"0.13",28.6005487455244
"0.135",29.0044239906427
"0.14",30.9605436467982
"0.145",32.3931312468187
"0.15",35.7130283828219
"0.155",37.7320579953079
"0.16",39.610871995298
"0.165",40.921903604299
"0.17",43.4476270192261
"0.175",45.2644836545443
"0.18",43.9467743892673
"0.185",45.2999871869152
"0.19",48.3001707707848
"0.195",47.5515690946342
"0.2",51.4831548279377
"0.205",54.1255515497778
"0.21",55.7777236399601
"0.215",57.9929853594699
"0.22",62.4677202962006
"0.225",59.5698561378402
"0.23",60.6626050718775
"0.235",65.2829925210249
"0.24",69.132645672879
"0.245",71.2466024955427
"0.25",68.8012351153856
"0.255",72.3766955264342
"0.26",71.2133385357569
"0.265",71.4384407268589
"0.27",72.4157370741497
"0.275",73.2443317239483
"0.28",75.5274722750928
"0.285",78.9506577816136
"0.29",79.7395025761673
"0.295",83.6348567555207
"0.3",84.7234622067006
"0.305",79.3672661592621
"0.31",87.3898289684101
"0.315",87.701529708168
"0.32",87.7466676806942
"0.325",91.9478877751649
"0.33",86.8789730284736
"0.335",91.8930010140052
"0.34",94.8024891988983
"0.345",96.9589292338071
"0.35",95.6051434878884
"0.355",99.772528103249
"0.36",98.9554877252821
"0.365",98.1464375851357
"0.37",105.086922018541
"0.375",107.083112400837
"0.38",107.544677297375
"0.385",103.952275998692
"0.39",106.674122826222
"0.395",110.079555833663
"0.4",117.520061824139
"0.405",121.609025847127
"0.41",117.255109008444
"0.415",117.188377338119
"0.42",132.416319712031
"0.425",128.984639289865
"0.43",132.188323728892
"0.435",132.237689943188
"0.44",134.333100762208
"0.445",133.122529015083
"0.45",140.704014118399
"0.455",139.64421829107
"0.46",138.457951535016
"0.465",136.15859413146
"0.47",135.638091017852
"0.475",137.976295830388
"0.48",137.641298548259
"0.485",129.122324696326
"0.49",140.250662548476
"0.495",130.386906846119
"0.5",141.10725051123
"0.505",139.597307131175
"0.51",145.665613410324
"0.515",159.24430399959
"0.52",150.738151806936
"0.525",153.295248455659
"0.53",156.093734042979
"0.535",153.288966706713
"0.54",151.211703067324
"0.545",152.340858342197
"0.55",152.499953170882
"0.555",150.893292398067
"0.56",154.4160199211
"0.565",148.932985433038
"0.57",167.018903174292
"0.575",174.162895660634
"0.58",167.182397072684
"0.585",166.200351993032
"0.59",162.518851445322
"0.595",169.099465257761
"0.6",171.583062791389
"0.605",181.272331710917
"0.61",174.681024050175
"0.615",177.140666337424
"0.62",184.887395691974
"0.625",194.308691921858
"0.63",181.210150458357
"0.635",184.472354466347
"0.64",185.530260396433
"0.645",194.258172180363
"0.65",189.771724971073
"0.655",196.911583070372
"0.66",188.218676904538
"0.665",193.047098579372
"0.67",202.227185720263
"0.675",202.291411069862
"0.68",198.890652873831
"0.685",202.804792010039
"0.69",203.275309214924
"0.695",199.997251215246
"0.7",193.373362735063
"0.705",188.927848737817
"0.71",202.83958126883
"0.715",200.808680962515
"0.72",208.37840370083
"0.725",211.352008236763
"0.73",218.527224085351
"0.735",232.050658025287
"0.74",236.515073083292
"0.745",228.720441971336
"0.75",231.057238829996
"0.755",224.102335294301
"0.76",218.945213593813
"0.765",221.153861238777
"0.77",228.585007213606
"0.775",225.112158391779
"0.78",230.897646788218
"0.785",226.181163018732
"0.79",222.056297855442
"0.795",232.525601861063
"0.8",232.356967322456
"0.805",234.588932831966
"0.81",243.020205072192
"0.815",234.784421427176
"0.82",236.931719763925
"0.825",247.901542840938
"0.83",265.076091296741
"0.835",266.451436776992
"0.84",255.580418786904
"0.845",259.942969264638
"0.85",268.584181920731
"0.855",258.701069606508
"0.86",268.444319890112
"0.865",267.437042232277
"0.87",272.930897722967
"0.875",269.335435585477
"0.88",287.7434248773
"0.885",273.693956940992
"0.89",276.110408534053
"0.895",274.84206175488
"0.9",279.791518567472
"0.905",286.134968424002
"0.91",290.343664576774
"0.915",302.84232778943
"0.92",311.91469921267
"0.925",312.23204563285
"0.93",298.07654445411
"0.935",290.681221818176
"0.94",298.837063315143
"0.945",288.112696196913
"0.95",302.316626487941
"0.955",306.658332401376
"0.96",299.856842849975
"0.965",312.750479318876
"0.97",315.211188335355
"0.975",321.141384589884
"0.98",331.699192441199
"0.985",319.869696993635
"0.99",337.762285045421
