"","x"
"0.005",2.69112274351768
"0.01",2.73527086351792
"0.015",2.75980355586061
"0.02",2.80053571670907
"0.025",2.82534074775255
"0.03",2.8547506883563
"0.035",2.88600275076277
"0.04",2.91301189341653
"0.045",2.94809920026064
"0.05",2.98754479133282
"0.055",3.02532693115734
"0.06",3.05759921704817
"0.065",3.09551994611066
"0.07",3.13473732586766
"0.075",3.16579501107314
"0.08",3.19486667391852
"0.085",3.22983853442805
"0.09",3.27155523032575
"0.095",3.31237410027064
"0.1",3.35076413228128
"0.105",3.38662980826509
"0.11",3.42319138915082
"0.115",3.46108938933877
"0.12",3.50467766955918
"0.125",3.54526551384788
"0.13",3.57982756923273
"0.135",3.62245970341743
"0.14",3.65407686206119
"0.145",3.69549491965906
"0.15",3.74181636267692
"0.155",3.78407966132861
"0.16",3.82428241641269
"0.165",3.86859918721699
"0.17",3.90949750532982
"0.175",3.95731837240216
"0.18",4.00338548483203
"0.185",4.04898876989907
"0.19",4.08230842916142
"0.195",4.13413356828701
"0.2",4.18054177391878
"0.205",4.21948876099885
"0.21",4.25709536135622
"0.215",4.30309195143213
"0.22",4.35550744471536
"0.225",4.40135041911076
"0.23",4.44873005227444
"0.235",4.49808839907169
"0.24",4.55514525532305
"0.245",4.60906544157895
"0.25",4.65618574706901
"0.255",4.70634651944713
"0.26",4.75707625105089
"0.265",4.81314582769788
"0.27",4.85426284142354
"0.275",4.912353653331
"0.28",4.96403355606577
"0.285",5.0142951074776
"0.29",5.0681775893408
"0.295",5.11373162519384
"0.3",5.16484646167385
"0.305",5.21520646583846
"0.31",5.26364796082995
"0.315",5.31444731043582
"0.32",5.36732550574633
"0.325",5.42552155616182
"0.33",5.46931885373075
"0.335",5.50826797896391
"0.34",5.55810267778147
"0.345",5.6234109455002
"0.35",5.68390437557225
"0.355",5.74631494181626
"0.36",5.79384856620455
"0.365",5.84855219080944
"0.37",5.89920067009994
"0.375",5.95174921980374
"0.38",6.00628434157722
"0.385",6.07405237489732
"0.39",6.12032455411826
"0.395",6.16732755376243
"0.4",6.22917168602608
"0.405",6.2751702931164
"0.41",6.34397848812617
"0.415",6.40879438877091
"0.42",6.460112757279
"0.425",6.51390281109758
"0.43",6.57247900472708
"0.435",6.63526911934717
"0.44",6.69314436744768
"0.445",6.75192344123776
"0.45",6.81624412873213
"0.455",6.87266339222643
"0.46",6.93264489471441
"0.465",6.99014902774188
"0.47",7.05266349430465
"0.475",7.12055089198314
"0.48",7.18503085011987
"0.485",7.2428130218344
"0.49",7.30335925498389
"0.495",7.35257058655031
"0.5",7.41290660149494
"0.505",7.47760901903472
"0.51",7.535275152035
"0.515",7.60680206664664
"0.52",7.66882378801613
"0.525",7.73382121817037
"0.53",7.77904679637282
"0.535",7.83250382672087
"0.54",7.89358401603973
"0.545",7.96050539284512
"0.55",8.01963766170064
"0.555",8.08691059571971
"0.56",8.14504037294787
"0.565",8.21366653054243
"0.57",8.28898162516615
"0.575",8.33439779571911
"0.58",8.39037922096612
"0.585",8.46802702417062
"0.59",8.52828105567414
"0.595",8.58679558518474
"0.6",8.65353980466288
"0.605",8.69811014237761
"0.61",8.75843490698091
"0.615",8.81871422482657
"0.62",8.87937435895546
"0.625",8.93232042005601
"0.63",8.9892179660916
"0.635",9.03108575232194
"0.64",9.09827859174009
"0.645",9.1506440095456
"0.65",9.23108004733339
"0.655",9.30143355702678
"0.66",9.36959239587786
"0.665",9.43918737939985
"0.67",9.50240463146961
"0.675",9.56750490940518
"0.68",9.62547578830066
"0.685",9.69098784136794
"0.69",9.74450868751255
"0.695",9.79295992890919
"0.7",9.84676034557629
"0.705",9.91622278771703
"0.71",9.98911891315398
"0.715",10.0489039064707
"0.72",10.0969593697286
"0.725",10.1588754894248
"0.73",10.2256277694975
"0.735",10.2721983056097
"0.74",10.3401166998714
"0.745",10.4071540332148
"0.75",10.4918179504422
"0.755",10.5389249900937
"0.76",10.6026122413979
"0.765",10.6634653521042
"0.77",10.7265331132138
"0.775",10.7891154993491
"0.78",10.8596259523937
"0.785",10.9239726906284
"0.79",10.9973754836414
"0.795",11.0756655960345
"0.8",11.1449569762753
"0.805",11.2069743827993
"0.81",11.2761555133639
"0.815",11.3396465253181
"0.82",11.4043719783988
"0.825",11.4714502250475
"0.83",11.5274865816604
"0.835",11.5866026549668
"0.84",11.6522621314113
"0.845",11.7224421267473
"0.85",11.8028801562279
"0.855",11.8626166403432
"0.86",11.9345729425326
"0.865",12.0131459432453
"0.87",12.0747474062718
"0.875",12.1450528319994
"0.88",12.2224447125638
"0.885",12.3003835388021
"0.89",12.3861077384413
"0.895",12.4619949938048
"0.9",12.5409804920806
"0.905",12.6197528126635
"0.91",12.6916494553445
"0.915",12.764503805237
"0.92",12.8397884585806
"0.925",12.9171003205783
"0.93",12.9869596714845
"0.935",13.0564421952947
"0.94",13.1132485888187
"0.945",13.1882503885082
"0.95",13.245698498241
"0.955",13.3052194963015
"0.96",13.369500936654
"0.965",13.4440489069386
"0.97",13.5016591163299
"0.975",13.5807606166967
"0.98",13.6605314024412
"0.985",13.7279594411883
"0.99",13.8038585730418
