"","x"
"0.005",6.92471602188075
"0.01",7.16668151770231
"0.015",7.4341685423042
"0.02",7.8281721275159
"0.025",8.18702332355848
"0.03",8.72143477057876
"0.035",9.12806791247649
"0.04",9.71087132344638
"0.045",10.5250959300985
"0.05",11.1786517403509
"0.055",12.1692914893063
"0.06",13.0330006970875
"0.065",14.2154397328155
"0.07",15.1748363965803
"0.075",16.3965110981409
"0.08",18.2284146516734
"0.085",19.3449709865997
"0.09",20.8959234575666
"0.095",23.0741219115287
"0.1",25.3044312938589
"0.105",25.9013789989254
"0.11",29.1340605855184
"0.115",31.8940518584532
"0.12",32.2027429681851
"0.125",33.2662270674022
"0.13",35.7432604358002
"0.135",36.4705926197727
"0.14",38.1418440817868
"0.145",39.5296679780866
"0.15",41.4243684782966
"0.155",42.6994331330189
"0.16",47.1610647843755
"0.165",49.8104207459835
"0.17",50.6392144926473
"0.175",53.0037959845981
"0.18",55.8528988738412
"0.185",56.5656111933163
"0.19",58.314250397903
"0.195",59.1787857520582
"0.2",64.8663009446201
"0.205",64.2360776909142
"0.21",66.5174319530364
"0.215",67.0577930087433
"0.22",67.0366418517357
"0.225",69.0391952083713
"0.23",75.173974385745
"0.235",74.8663839316624
"0.24",74.6919325995177
"0.245",74.6099180136163
"0.25",78.9705672630661
"0.255",78.4983457124455
"0.26",80.5689723939066
"0.265",77.632380911503
"0.27",76.6629032746693
"0.275",81.7365250857033
"0.28",85.6416471592867
"0.285",78.2861327409264
"0.29",82.9133379982928
"0.295",83.9450806508015
"0.3",84.9225291708656
"0.305",85.4583358650551
"0.31",89.1085077900979
"0.315",90.0273867266968
"0.32",91.0035389832606
"0.325",88.7584433201462
"0.33",93.5864012833693
"0.335",97.4292040901358
"0.34",99.6082855612513
"0.345",92.101211926708
"0.35",93.3220503388848
"0.355",90.3069788962332
"0.36",96.3874994490193
"0.365",95.1787658760438
"0.37",89.8357483712596
"0.375",98.159971316644
"0.38",95.8261284055431
"0.385",93.5047174600107
"0.39",94.8811838073252
"0.395",102.453874257382
"0.4",101.597456674392
"0.405",106.456970521493
"0.41",111.04284098856
"0.415",105.916313268614
"0.42",105.287864868836
"0.425",103.788378193896
"0.43",105.343848234274
"0.435",102.713239269921
"0.44",99.7084946964779
"0.445",105.05257766425
"0.45",98.3826709107678
"0.455",103.869350010028
"0.46",102.865520642305
"0.465",108.578354864412
"0.47",109.366589172958
"0.475",109.070382863827
"0.48",107.924670812247
"0.485",107.269652669566
"0.49",110.087342921604
"0.495",106.975200389884
"0.5",113.782669591939
"0.505",118.006922483062
"0.51",127.61057360383
"0.515",120.579464656264
"0.52",119.2777341474
"0.525",120.311629004969
"0.53",115.770203462171
"0.535",118.275567784712
"0.54",117.854774402934
"0.545",122.38929826961
"0.55",117.435379763843
"0.555",113.114283008178
"0.56",111.110534263957
"0.565",123.517251188065
"0.57",122.229345514096
"0.575",115.702244172427
"0.58",122.284827808313
"0.585",118.312298968109
"0.59",119.963033209253
"0.595",123.858896254337
"0.6",128.430037680858
"0.605",125.59227143153
"0.61",128.886887751668
"0.615",131.181541446899
"0.62",127.52073167332
"0.625",124.090763296084
"0.63",125.76690277525
"0.635",125.331510405444
"0.64",131.431037169079
"0.645",127.800399626082
"0.65",129.1083651326
"0.655",135.566556555931
"0.66",134.893832479481
"0.665",136.219047301807
"0.67",140.97088361073
"0.675",153.584491770482
"0.68",150.067067682891
"0.685",145.767252970339
"0.69",143.131054440206
"0.695",143.134422879184
"0.7",155.36203294945
"0.705",146.099743347874
"0.71",142.549025316487
"0.715",148.236494718335
"0.72",147.40533463614
"0.725",147.999128265022
"0.73",148.394588171123
"0.735",144.220967734391
"0.74",148.956030933893
"0.745",149.326187301864
"0.75",147.361436420529
"0.755",151.075620212462
"0.76",159.424826642005
"0.765",158.185486181183
"0.77",156.214707659011
"0.775",152.222575870839
"0.78",152.947532469039
"0.785",157.675619369417
"0.79",157.781862537672
"0.795",155.718523411677
"0.8",156.588291233888
"0.805",148.784501712999
"0.81",144.505888387428
"0.815",149.891693616341
"0.82",153.91575029763
"0.825",150.320398408212
"0.83",140.13297139315
"0.835",146.529931741784
"0.84",143.382187345031
"0.845",139.659607272431
"0.85",140.818354746671
"0.855",143.461295974743
"0.86",144.400317526188
"0.865",141.709382650199
"0.87",142.894433336504
"0.875",144.660273761241
"0.88",147.646982614118
"0.885",145.910345867496
"0.89",143.109213755775
"0.895",143.910871039456
"0.9",141.898695901403
"0.905",145.612758663444
"0.91",144.806766119163
"0.915",145.947483249101
"0.92",143.913679567256
"0.925",146.157835355429
"0.93",151.089671805635
"0.935",152.483466799599
"0.94",152.130100278103
"0.945",152.970092248455
"0.95",160.122395556153
"0.955",162.479578497423
"0.96",161.633228436824
"0.965",153.721345152456
"0.97",151.075236423923
"0.975",153.926283295108
"0.98",156.339093210658
"0.985",155.744004208103
"0.99",152.038699590526
