"","x"
"0.005",6.84013773214748
"0.01",7.04566997909102
"0.015",7.25657249934114
"0.02",7.50583876043597
"0.025",7.81761225898752
"0.03",8.06518962402522
"0.035",8.31130994990486
"0.04",8.66585771899689
"0.045",9.07750611386479
"0.05",9.40744751082052
"0.055",9.91311397363755
"0.06",10.3850194475395
"0.065",10.9936518799326
"0.07",11.5879179313157
"0.075",12.2160140184342
"0.08",12.8914000823686
"0.085",13.839686559766
"0.09",14.5486087717803
"0.095",15.408279149
"0.1",15.9627822320084
"0.105",16.9354718643513
"0.11",18.0101808543668
"0.115",19.0391711191384
"0.12",20.1306184257598
"0.125",20.9231568132761
"0.13",22.2872352565491
"0.135",23.5995486848928
"0.14",25.075456076116
"0.145",25.4216732473255
"0.15",26.784336981566
"0.155",28.5537273425124
"0.16",30.1690998852894
"0.165",31.4724173854265
"0.17",32.4576084467444
"0.175",35.1488524841338
"0.18",36.3930655665034
"0.185",37.969087325886
"0.19",39.088265203371
"0.195",41.3363901813698
"0.2",42.4694411186256
"0.205",44.365663891812
"0.21",46.4553821904913
"0.215",47.4341878207188
"0.22",49.1426440307944
"0.225",53.1727063541605
"0.23",52.356498800854
"0.235",54.8426024443997
"0.24",54.3060188350692
"0.245",56.2795930506612
"0.25",59.2296367445305
"0.255",61.4491911031433
"0.26",63.9698523348035
"0.265",65.1864568237235
"0.27",62.9938989221952
"0.275",64.661936474496
"0.28",68.216164217378
"0.285",68.1420759642751
"0.29",69.9911690602164
"0.295",72.0669977415041
"0.3",73.1186010370278
"0.305",73.3958793920059
"0.31",78.8000522460104
"0.315",80.1266686825323
"0.32",81.560765867972
"0.325",83.7891490235424
"0.33",87.0115797623941
"0.335",90.1935226314606
"0.34",95.5148801923735
"0.345",90.8532606197043
"0.35",98.4688241944206
"0.355",95.4245021629371
"0.36",102.366066113343
"0.365",104.295500700343
"0.37",104.203824998596
"0.375",106.675692022874
"0.38",104.80155018318
"0.385",105.953104285446
"0.39",109.548476444756
"0.395",113.082580712298
"0.4",114.751105414434
"0.405",119.8573341731
"0.41",121.522837544203
"0.415",126.634998088115
"0.42",122.777820989498
"0.425",118.064032080887
"0.43",125.364859823139
"0.435",122.088114369369
"0.44",124.836119881711
"0.445",134.059757394022
"0.45",133.308357978236
"0.455",139.529876879895
"0.46",150.460008705615
"0.465",145.333736771099
"0.47",149.300034871874
"0.475",146.838863584714
"0.48",149.920131561059
"0.485",151.788900911229
"0.49",147.215271713765
"0.495",146.559034339891
"0.5",138.6890361558
"0.505",140.291441915101
"0.51",135.679042902099
"0.515",140.824387697319
"0.52",149.737928920169
"0.525",152.397957754902
"0.53",153.068269138896
"0.535",151.063248284208
"0.54",144.209825994185
"0.545",147.13383780405
"0.55",151.139017017628
"0.555",152.482836271715
"0.56",147.424309858621
"0.565",156.338053723713
"0.57",162.621066992012
"0.575",169.660229024745
"0.58",168.678426123849
"0.585",164.277227290396
"0.59",169.384648742112
"0.595",167.64443315143
"0.6",167.974932645851
"0.605",168.35849032911
"0.61",169.991696486161
"0.615",182.051467114722
"0.62",170.640915642498
"0.625",174.435981767806
"0.63",179.973238717803
"0.635",179.155189674141
"0.64",186.560254785018
"0.645",187.673498266533
"0.65",192.910005692377
"0.655",188.67803187918
"0.66",194.509080298506
"0.665",190.42412370885
"0.67",193.491183602818
"0.675",197.591280957094
"0.68",215.642718317857
"0.685",218.639145943812
"0.69",223.880528025818
"0.695",228.589109086375
"0.7",230.900756755025
"0.705",230.979583345135
"0.71",235.369710386904
"0.715",219.827396639135
"0.72",231.030860159213
"0.725",236.611720266576
"0.73",238.577118114981
"0.735",254.749300646419
"0.74",262.652981002521
"0.745",253.682806020073
"0.75",238.206801137907
"0.755",250.170521033179
"0.76",262.14900990245
"0.765",265.408557700471
"0.77",260.184535931799
"0.775",269.911343086143
"0.78",280.09890512667
"0.785",273.261835097279
"0.79",256.257609133791
"0.795",277.373331648078
"0.8",281.277394889551
"0.805",283.06348325207
"0.81",286.174303472663
"0.815",300.465993113532
"0.82",305.841951654577
"0.825",299.148120154243
"0.83",320.24268579999
"0.835",308.967864043608
"0.84",324.65982609844
"0.845",332.137872149741
"0.85",325.025114054023
"0.855",329.10981490291
"0.86",331.806408653976
"0.865",334.779254581907
"0.87",351.22920705318
"0.875",343.0629313337
"0.88",334.176638965216
"0.885",338.561195271117
"0.89",334.201485414387
"0.895",351.302142317218
"0.9",345.879980226177
"0.905",334.349951706753
"0.91",346.116285980308
"0.915",368.050821400586
"0.92",372.003631539591
"0.925",388.926996215387
"0.93",377.600506260982
"0.935",376.561609726616
"0.94",368.15251848566
"0.945",360.412351843458
"0.95",370.198791469544
"0.955",371.360743984709
"0.96",369.027693868185
"0.965",374.825655748833
"0.97",381.211284642559
"0.975",372.005873895931
"0.98",371.789094528305
"0.985",387.85382564648
"0.99",409.371362068791
