"","x"
"0.005",3.89248562675938
"0.01",3.99422101899344
"0.015",4.10412488586683
"0.02",4.22879388786618
"0.025",4.3752880813405
"0.03",4.49720509674848
"0.035",4.60676358644205
"0.04",4.73257016484891
"0.045",4.90929135940519
"0.05",5.06082235263672
"0.055",5.25978955936797
"0.06",5.46469013466705
"0.065",5.66870112254064
"0.07",5.90560285395577
"0.075",6.09146410282289
"0.08",6.30206153595713
"0.085",6.54953485259897
"0.09",6.84048602663253
"0.095",7.10629935967069
"0.1",7.38864765254014
"0.105",7.66260309586378
"0.11",7.84785106166798
"0.115",8.23781906902101
"0.12",8.53386004359712
"0.125",8.88583072989056
"0.13",9.13368829463992
"0.135",9.46099765273829
"0.14",9.74109287711168
"0.145",10.0911926197781
"0.15",10.4486805718139
"0.155",10.6913712973167
"0.16",10.92414777153
"0.165",11.1947249595118
"0.17",11.5012207271214
"0.175",11.841536472796
"0.18",12.1154366434759
"0.185",12.3668451856025
"0.19",12.6937571487144
"0.195",13.1342871330325
"0.2",13.6251459015888
"0.205",13.8541899810367
"0.21",14.0322739191022
"0.215",14.3738302737833
"0.22",14.6475610715877
"0.225",15.0625426762509
"0.23",15.2429748941285
"0.235",15.5528902954657
"0.24",15.9039000594767
"0.245",15.9992749367694
"0.25",16.1656497714986
"0.255",16.3893506230712
"0.26",16.692192442232
"0.265",17.1067119488845
"0.27",17.3260433698663
"0.275",17.3357305211516
"0.28",17.6418843647436
"0.285",17.8957937249524
"0.29",18.2533401698009
"0.295",18.6527236347705
"0.3",18.8697708110845
"0.305",18.9560931663345
"0.31",19.6280133204927
"0.315",19.9786977833788
"0.32",20.0855493136341
"0.325",20.3963398132925
"0.33",20.5561250984652
"0.335",21.0237767814894
"0.34",21.2117136662457
"0.345",21.3325765216974
"0.35",21.3440108407492
"0.355",21.9370515929612
"0.36",22.062903050481
"0.365",22.5551999404492
"0.37",23.0153247934371
"0.375",23.3615595924845
"0.38",23.4875349206915
"0.385",23.7168434798845
"0.39",23.9116408174551
"0.395",24.0683178401116
"0.4",24.3032134252434
"0.405",24.7439686824272
"0.41",25.0176608483647
"0.415",25.5555663765752
"0.42",25.7413813463652
"0.425",25.9084647434895
"0.43",26.3981008910659
"0.435",26.8273885370373
"0.44",27.3098915958444
"0.445",27.2403181227422
"0.45",27.4589122686156
"0.455",27.1502703964568
"0.46",27.8021321544495
"0.465",27.8425086236456
"0.47",28.0896272033628
"0.475",28.3826186293444
"0.48",28.4258769402841
"0.485",28.7685788259571
"0.49",29.2108138418453
"0.495",29.2973111396511
"0.5",29.3860792012798
"0.505",29.6440118549483
"0.51",30.1127822090244
"0.515",30.7846887885054
"0.52",30.5621420469935
"0.525",30.8153003154676
"0.53",30.9764645075724
"0.535",31.4103077258707
"0.54",32.2870628753746
"0.545",32.5127309083448
"0.55",32.5457456416951
"0.555",33.358560051769
"0.56",33.837718222726
"0.565",34.2312533344193
"0.57",35.0586719572568
"0.575",35.0883574679387
"0.58",35.0458608689953
"0.585",35.2750096988406
"0.59",35.7505296296483
"0.595",35.9219803649161
"0.6",36.443299093492
"0.605",37.0210584861915
"0.61",37.1082831568034
"0.615",37.949761118792
"0.62",38.4935878406814
"0.625",38.8644478708774
"0.63",38.815964693103
"0.635",39.2253774596923
"0.64",39.6659588500632
"0.645",40.2236202070671
"0.65",40.2135103268594
"0.655",40.4953152667654
"0.66",40.2460609732859
"0.665",40.1353722696681
"0.67",41.1233736589477
"0.675",41.3226522954434
"0.68",41.5958704936548
"0.685",42.6427950539176
"0.69",42.5595281447766
"0.695",42.7983043228685
"0.7",42.6387750010584
"0.705",43.17179076371
"0.71",43.8735795223059
"0.715",43.5896675660093
"0.72",43.9392190557225
"0.725",43.9930988057298
"0.73",44.7495506790947
"0.735",45.2356379007021
"0.74",45.8609076387194
"0.745",46.3008674013308
"0.75",46.0629503122512
"0.755",46.4150697058534
"0.76",46.3095574324917
"0.765",46.5857305655818
"0.77",47.1155979964548
"0.775",46.9630346994814
"0.78",47.4386875614798
"0.785",48.1723490307101
"0.79",48.4326392135517
"0.795",48.8379389698853
"0.8",48.3521355203263
"0.805",49.1318070931308
"0.81",49.4705731859485
"0.815",48.7462300502982
"0.82",49.3436678699595
"0.825",49.7641631549693
"0.83",50.5732223803388
"0.835",51.1972047178963
"0.84",51.0543574781286
"0.845",51.0932118131861
"0.85",52.3429592098161
"0.855",51.6075549562428
"0.86",52.7384913371846
"0.865",52.9847116453352
"0.87",53.1892177769303
"0.875",53.2944621564844
"0.88",53.1257036133689
"0.885",52.8914820110631
"0.89",53.829469977923
"0.895",53.971659658722
"0.9",55.088078651859
"0.905",55.4558520997368
"0.91",55.8225418681671
"0.915",56.4744266323301
"0.92",56.5995749046112
"0.925",56.9485955816861
"0.93",56.7262606904337
"0.935",57.3307959976572
"0.94",57.8206000069452
"0.945",58.6514652375424
"0.95",59.9944080790259
"0.955",60.5351385783409
"0.96",61.0079159560009
"0.965",61.226951048348
"0.97",61.8513073493098
"0.975",61.6877181755084
"0.98",62.8610943891819
"0.985",62.925453511249
"0.99",63.5984262770615
