"","x"
"0.005",2.71660355346198
"0.01",2.7858840022562
"0.015",2.85065451332418
"0.02",2.90463906174264
"0.025",2.96364970276114
"0.03",3.01849347076614
"0.035",3.09036795468849
"0.04",3.15478333423239
"0.045",3.2295226724787
"0.05",3.29703558552876
"0.055",3.36014444875649
"0.06",3.45693599267381
"0.065",3.53930456271862
"0.07",3.62558024020318
"0.075",3.73284229016065
"0.08",3.8352439823364
"0.085",3.93785052608695
"0.09",4.02517286272922
"0.095",4.12490649959416
"0.1",4.22537452001751
"0.105",4.35034401366269
"0.11",4.46558736874977
"0.115",4.57980096901624
"0.12",4.67804973855505
"0.125",4.79101507938592
"0.13",4.93876330440424
"0.135",5.07080263442203
"0.14",5.22987266824767
"0.145",5.39184498184468
"0.15",5.50445838949448
"0.155",5.60753678620154
"0.16",5.69234003372432
"0.165",5.81614500119334
"0.17",5.97876048079485
"0.175",6.12447406701205
"0.18",6.24191838850847
"0.185",6.39315969346305
"0.19",6.51755286810266
"0.195",6.65640447062995
"0.2",6.76499392725319
"0.205",6.90695616804072
"0.21",7.05431819334893
"0.215",7.21350218005082
"0.22",7.30420552891556
"0.225",7.51465162342852
"0.23",7.64381132053015
"0.235",7.80122894925958
"0.24",7.9494344651175
"0.245",8.08909818568195
"0.25",8.22054595103341
"0.255",8.3623970603236
"0.26",8.52641024079919
"0.265",8.63472286991951
"0.27",8.78803139781353
"0.275",8.9317998050024
"0.28",9.09963128586452
"0.285",9.20982285479489
"0.29",9.41709825378245
"0.295",9.65534418203002
"0.3",9.80598004007402
"0.305",9.8878132870917
"0.31",10.0764937710513
"0.315",10.1265297146963
"0.32",10.2579312186008
"0.325",10.4885807830444
"0.33",10.5424595555712
"0.335",10.6749622491394
"0.34",10.8124908096936
"0.345",11.0509505127036
"0.35",11.2131526529349
"0.355",11.2879247915755
"0.36",11.4441286143339
"0.365",11.6447634770713
"0.37",11.9049109359525
"0.375",12.0349594108468
"0.38",12.2310159517168
"0.385",12.4245755062369
"0.39",12.5180977139826
"0.395",12.6580068315592
"0.4",12.8355270262771
"0.405",13.090602764691
"0.41",13.231498457385
"0.415",13.3927961764753
"0.42",13.7036245903059
"0.425",13.8095222841965
"0.43",13.9563424316196
"0.435",14.004574760549
"0.44",14.095413260748
"0.445",14.234852686721
"0.45",14.3761040173478
"0.455",14.5286130631363
"0.46",14.688325364961
"0.465",14.8975589370428
"0.47",15.0901648465772
"0.475",15.1711375034321
"0.48",15.2794209951612
"0.485",15.3092424448296
"0.49",15.4287363767545
"0.495",15.6990651591515
"0.5",15.9407469656315
"0.505",15.9565640550937
"0.51",15.9554520678122
"0.515",16.0188568679135
"0.52",16.1737235192614
"0.525",16.360607169837
"0.53",16.5226237871142
"0.535",16.5947063483262
"0.54",16.7591526140023
"0.545",17.0137103021959
"0.55",17.2510968401084
"0.555",17.3353782620021
"0.56",17.4948295789754
"0.565",17.7660069462693
"0.57",18.0470724078923
"0.575",18.2754790712543
"0.58",18.4759706558063
"0.585",18.6078755280022
"0.59",18.8469660520545
"0.595",18.9227811532996
"0.6",19.1981326149582
"0.605",19.2732056944004
"0.61",19.4791641089826
"0.615",19.6111891638151
"0.62",19.7915048809807
"0.625",19.9637701489299
"0.63",20.2437902973718
"0.635",20.4311010995765
"0.64",20.645108495266
"0.645",20.6129154110243
"0.65",20.8195764852775
"0.655",21.0042352267505
"0.66",21.331969961723
"0.665",21.6839810756516
"0.67",21.9722213520285
"0.675",22.366388242487
"0.68",22.5412998268617
"0.685",22.7022937821603
"0.69",22.9406896342698
"0.695",23.1292773622374
"0.7",23.417653380471
"0.705",23.5645609562722
"0.71",23.724908420363
"0.715",23.8743226485615
"0.72",24.1454245648381
"0.725",24.3688068968956
"0.73",24.629437860887
"0.735",24.9538357585229
"0.74",25.1759524831846
"0.745",25.373125600674
"0.75",25.5836524064105
"0.755",25.7886344092402
"0.76",25.9065247142751
"0.765",26.0261087099887
"0.77",26.1081744950346
"0.775",26.3075845955096
"0.78",26.4569924640299
"0.785",26.4023968002605
"0.79",26.5857090772823
"0.795",26.7808413982617
"0.8",26.8849524929707
"0.805",27.1601450649996
"0.81",27.4712566631617
"0.815",27.6447066104589
"0.82",27.9190700565706
"0.825",28.0885454109747
"0.83",28.2623015662135
"0.835",28.1547958253575
"0.84",28.5414951888846
"0.845",29.0306170298187
"0.85",29.1223956761925
"0.855",29.3438568186221
"0.86",29.573032099933
"0.865",29.71886837746
"0.87",29.8619703350536
"0.875",30.11458017382
"0.88",30.3918792359523
"0.885",30.7998765943439
"0.89",30.8240189332602
"0.895",31.4097244965182
"0.9",31.7546614639638
"0.905",32.0132419401587
"0.91",32.2771168186854
"0.915",32.4981510890146
"0.92",32.8908190823173
"0.925",33.2358039504074
"0.93",33.4163394333553
"0.935",33.7140042562452
"0.94",33.9007522239079
"0.945",34.1621720276414
"0.95",34.3387067880731
"0.955",34.7083394596151
"0.96",34.9191310915794
"0.965",35.051652544099
"0.97",35.298178155113
"0.975",35.4432236398054
"0.98",35.6955325549328
"0.985",36.1905052490415
"0.99",36.7048618065184
