"","x"
"0.005",5.04370520342841
"0.01",5.14430554081021
"0.015",5.22156512651928
"0.02",5.29770310966383
"0.025",5.40254006296855
"0.03",5.48228534279563
"0.035",5.55287841337172
"0.04",5.63381662495661
"0.045",5.70437522700966
"0.05",5.80320320021684
"0.055",5.90088040341574
"0.06",6.00460310822401
"0.065",6.12179191286578
"0.07",6.20377207922879
"0.075",6.2869652908568
"0.08",6.42509132394436
"0.085",6.52949579375653
"0.09",6.64279307870361
"0.095",6.74055883076251
"0.1",6.85350148327827
"0.105",6.94920526206293
"0.11",7.08287178516331
"0.115",7.25067115385388
"0.12",7.36194539214751
"0.125",7.52194242884433
"0.13",7.67469299880508
"0.135",7.80447012982561
"0.14",7.94707198111832
"0.145",8.11710786844357
"0.15",8.28254893336158
"0.155",8.43724671686978
"0.16",8.59013438855038
"0.165",8.78919850570163
"0.17",8.93416590391423
"0.175",9.14283227757814
"0.18",9.33721286542707
"0.185",9.52845277799708
"0.19",9.70945681949358
"0.195",9.94021244762927
"0.2",10.1775758037841
"0.205",10.4114539277821
"0.21",10.6159235060201
"0.215",10.860948990523
"0.22",11.070170328487
"0.225",11.2954527481124
"0.23",11.571033258076
"0.235",11.8741547099647
"0.24",12.1043103053317
"0.245",12.3552460791579
"0.25",12.5930907035013
"0.255",12.9016884619679
"0.26",13.1721568980243
"0.265",13.4089196982716
"0.27",13.7593422965128
"0.275",14.0848551800891
"0.28",14.4880965934199
"0.285",14.74175696576
"0.29",15.1518654978331
"0.295",15.5217100963754
"0.3",15.8905314663868
"0.305",16.2220189658237
"0.31",16.5751920152503
"0.315",16.863500253138
"0.32",17.2238651486535
"0.325",17.5631427135447
"0.33",17.9582940551012
"0.335",18.2530305846978
"0.34",18.5783098038282
"0.345",19.0065213148235
"0.35",19.3050797248676
"0.355",19.7283727641882
"0.36",20.1551958378612
"0.365",20.5512658900587
"0.37",20.9981834593969
"0.375",21.6867034329534
"0.38",22.3057239453827
"0.385",22.8086396211855
"0.39",23.3409007050613
"0.395",23.8980596630313
"0.4",24.4529677909875
"0.405",24.87844812954
"0.41",25.6063976071097
"0.415",26.0714817518221
"0.42",26.559960970915
"0.425",27.318494966222
"0.43",28.1977927717997
"0.435",28.5204228430298
"0.44",29.217541303848
"0.445",29.5646614757677
"0.45",30.1366721614391
"0.455",30.6220490183465
"0.46",31.2745161577748
"0.465",31.9294328196895
"0.47",32.6084938041382
"0.475",33.2892313395289
"0.48",33.977646844587
"0.485",34.3498347637928
"0.49",34.843719486799
"0.495",35.5984964518733
"0.5",36.5169650547688
"0.505",37.0697100824176
"0.51",37.8223083229906
"0.515",38.4083848163261
"0.52",39.255332693214
"0.525",39.4453512566702
"0.53",39.4638746269368
"0.535",40.1393298324262
"0.54",40.8801149292865
"0.545",41.4455624644663
"0.55",42.1193318435297
"0.555",43.1773151608745
"0.56",43.2476029493374
"0.565",43.4416673652506
"0.57",44.3140300747146
"0.575",45.7289821962576
"0.58",46.8334781902757
"0.585",47.4471401900081
"0.59",48.2248307042325
"0.595",48.9904540240181
"0.6",50.0446887747746
"0.605",51.4756961407118
"0.61",52.7384300019733
"0.615",53.4548015252519
"0.62",54.1991401437789
"0.625",55.2705565052338
"0.63",55.3749514645229
"0.635",56.187834299767
"0.64",57.5218416411511
"0.645",58.0568573963787
"0.65",58.8960982535976
"0.655",59.9525270141216
"0.66",60.8023796061172
"0.665",61.4545905439527
"0.67",62.4153327990222
"0.675",64.0243765742494
"0.68",64.4098571537933
"0.685",65.4021755235724
"0.69",65.7581953463676
"0.695",66.7918396883558
"0.7",69.6370946595371
"0.705",70.2456067123642
"0.71",70.7545166666565
"0.715",71.778482126087
"0.72",73.0319902642574
"0.725",74.2036947199844
"0.73",75.1541344628463
"0.735",75.7452774760673
"0.74",77.1005933002832
"0.745",78.8488055577628
"0.75",78.8352817811386
"0.755",79.2658278038318
"0.76",80.5066006029227
"0.765",80.3518047957366
"0.77",80.1463877443879
"0.775",81.4826826430315
"0.78",83.1746310943385
"0.785",83.6763085916372
"0.79",84.0463885303253
"0.795",85.3104718518634
"0.8",86.6486437551386
"0.805",87.9849588950671
"0.81",88.3148969839892
"0.815",89.6735224141561
"0.82",91.109692421105
"0.825",93.2288553045767
"0.83",94.9519196081593
"0.835",95.7951897583081
"0.84",96.6384771480919
"0.845",98.7352814861214
"0.85",100.736762717964
"0.855",102.40735315672
"0.86",103.566042201411
"0.865",106.494340399582
"0.87",107.599788225493
"0.875",106.370430625616
"0.88",106.857028763539
"0.885",107.736574742155
"0.89",107.521973650289
"0.895",109.792775092776
"0.9",110.658881471384
"0.905",110.787415153839
"0.91",112.042611490568
"0.915",113.080279246873
"0.92",113.018100898881
"0.925",113.788490603488
"0.93",112.07893036724
"0.935",113.516996700432
"0.94",113.903926954681
"0.945",116.177675341382
"0.95",117.708048119869
"0.955",116.745596022503
"0.96",116.464602208887
"0.965",118.211650068366
"0.97",119.482992406873
"0.975",121.878217195051
"0.98",124.11356187216
"0.985",124.432606721491
"0.99",125.40438281989
