"","x"
"0.005",3.84375828437844
"0.01",3.86124375375352
"0.015",3.89746231381801
"0.02",3.9430545060316
"0.025",3.98170651408934
"0.03",4.01732576823575
"0.035",4.05936754565217
"0.04",4.10626432248069
"0.045",4.14838364654651
"0.05",4.18851988942921
"0.055",4.24637570421857
"0.06",4.28361546845288
"0.065",4.32391657112282
"0.07",4.3633470527121
"0.075",4.40460571718968
"0.08",4.45159714296011
"0.085",4.50614242105311
"0.09",4.54262430112381
"0.095",4.58459831006556
"0.1",4.64126312441897
"0.105",4.71032727325984
"0.11",4.75871954656363
"0.115",4.81999436500056
"0.12",4.87530948983325
"0.125",4.93393439585556
"0.13",4.98326042827876
"0.135",5.03046366959233
"0.14",5.10059556146589
"0.145",5.16249548034204
"0.15",5.2086558099289
"0.155",5.26142388614636
"0.16",5.32964781767941
"0.165",5.40124471003743
"0.17",5.44606043134541
"0.175",5.51494899175882
"0.18",5.56710933880298
"0.185",5.63556332845529
"0.19",5.70285303161155
"0.195",5.76985640349963
"0.2",5.83697466301884
"0.205",5.89004106776484
"0.21",5.9487354792954
"0.215",6.01514195020153
"0.22",6.08702081735987
"0.225",6.16513496879694
"0.23",6.23394045386136
"0.235",6.29238405171873
"0.24",6.36214034787015
"0.245",6.43431030265254
"0.25",6.50189740012602
"0.255",6.5838479056567
"0.26",6.66077100149594
"0.265",6.73985367324955
"0.27",6.81460201153277
"0.275",6.89793447714624
"0.28",6.99832935873855
"0.285",7.06807688765007
"0.29",7.15107876373319
"0.295",7.25763937862244
"0.3",7.33624754358586
"0.305",7.42156076558436
"0.31",7.50295627322375
"0.315",7.6037227453951
"0.32",7.68635070986982
"0.325",7.76107996104447
"0.33",7.86807003205472
"0.335",7.95204688348463
"0.34",8.02254946102782
"0.345",8.12510636390109
"0.35",8.20912474242403
"0.355",8.30923468735176
"0.36",8.40996260078888
"0.365",8.49085417646217
"0.37",8.59204830148788
"0.375",8.68202530386473
"0.38",8.77030047555694
"0.385",8.87542801726762
"0.39",8.97687301076602
"0.395",9.07633447446857
"0.4",9.16894778905658
"0.405",9.26327400259836
"0.41",9.34629494026397
"0.415",9.43672356819841
"0.42",9.55820951025487
"0.425",9.67834785691178
"0.43",9.78810581672025
"0.435",9.92079605415816
"0.44",10.0460363549324
"0.445",10.1374026287607
"0.45",10.2523200201826
"0.455",10.3432712777956
"0.46",10.4420759061862
"0.465",10.5639645064773
"0.47",10.6683835581385
"0.475",10.7877260660107
"0.48",10.8936002826052
"0.485",11.0172537120347
"0.49",11.1312798266687
"0.495",11.2731319995663
"0.5",11.3976577934029
"0.505",11.5221554683429
"0.51",11.6485433439076
"0.515",11.7767181133189
"0.52",11.8851663203773
"0.525",12.0107479012631
"0.53",12.1556860030635
"0.535",12.2873486453899
"0.54",12.4339457254348
"0.545",12.5598435271009
"0.55",12.7027904644319
"0.555",12.8394858935072
"0.56",13.0023294897913
"0.565",13.1581389746429
"0.57",13.2873204153502
"0.575",13.4026182028628
"0.58",13.5665987229133
"0.585",13.7006234704582
"0.59",13.8315434303641
"0.595",13.9770479866725
"0.6",14.125441772919
"0.605",14.3066884559173
"0.61",14.4566833933417
"0.615",14.619156567941
"0.62",14.785066446428
"0.625",14.9304282353918
"0.63",15.0710110409133
"0.635",15.2508935116793
"0.64",15.4304922359306
"0.645",15.5915862494619
"0.65",15.7428770651105
"0.655",15.8997059811166
"0.66",16.0876043100256
"0.665",16.2324540667337
"0.67",16.4116166523309
"0.675",16.6137616285956
"0.68",16.8010407905631
"0.685",16.9912883739191
"0.69",17.1433904764141
"0.695",17.3266556091983
"0.7",17.5182031693994
"0.705",17.7251685616929
"0.71",17.8946721211163
"0.715",18.0917165467343
"0.72",18.2711351741576
"0.725",18.4575911681261
"0.73",18.6366140086563
"0.735",18.8430436285311
"0.74",19.034779123399
"0.745",19.2631627783737
"0.75",19.4505852975832
"0.755",19.6478065075341
"0.76",19.8489029528417
"0.765",20.0675081198685
"0.77",20.2627548329653
"0.775",20.449166626452
"0.78",20.6630368391433
"0.785",20.8627263686504
"0.79",21.0879398621101
"0.795",21.2720266473325
"0.8",21.4902415085866
"0.805",21.7071717022884
"0.81",21.9334027823336
"0.815",22.155001255374
"0.82",22.342889353247
"0.825",22.5563343342193
"0.83",22.7796569549731
"0.835",23.0018873125339
"0.84",23.230443512675
"0.845",23.4562479583133
"0.85",23.6755623546264
"0.855",23.9124886129645
"0.86",24.155408855
"0.865",24.4201273498754
"0.87",24.6595949738348
"0.875",24.938549375125
"0.88",25.1981858099396
"0.885",25.4592875986104
"0.89",25.7099697885558
"0.895",25.890981900062
"0.9",26.2119305672397
"0.905",26.4486791754396
"0.91",26.6908776924782
"0.915",26.9618551169777
"0.92",27.3035913921764
"0.925",27.5653666543706
"0.93",27.835344932836
"0.935",28.1423928958864
"0.94",28.3652688764378
"0.945",28.5706938533204
"0.95",28.8273155715664
"0.955",29.093520890529
"0.96",29.3095884632772
"0.965",29.5515953004561
"0.97",29.8121224788065
"0.975",30.0080314087972
"0.98",30.2910155023813
"0.985",30.5836304639883
"0.99",30.8869734850595
