"","x"
"0.005",5.04396336644899
"0.01",5.14130083211598
"0.015",5.22113588644993
"0.02",5.29401842531523
"0.025",5.3854319754486
"0.03",5.47770988206711
"0.035",5.54825134755828
"0.04",5.63748928741527
"0.045",5.69951410778955
"0.05",5.78739648318417
"0.055",5.88321310523044
"0.06",5.98308960558345
"0.065",6.09116063363824
"0.07",6.2082875415136
"0.075",6.27410392492539
"0.08",6.38378288952695
"0.085",6.50246017501334
"0.09",6.61343661091701
"0.095",6.71168230143784
"0.1",6.81982277824785
"0.105",6.92868604476656
"0.11",7.05563081992871
"0.115",7.18840788403925
"0.12",7.31767571064903
"0.125",7.45927137765434
"0.13",7.60128196449899
"0.135",7.75202542549074
"0.14",7.91829674740327
"0.145",8.04668709987001
"0.15",8.22933486979828
"0.155",8.37125519157987
"0.16",8.55471510226462
"0.165",8.69963346187659
"0.17",8.90888755884752
"0.175",9.07804182886319
"0.18",9.27407914579352
"0.185",9.48501864418532
"0.19",9.67452754651961
"0.195",9.87573091026351
"0.2",10.0300697277212
"0.205",10.2947191435106
"0.21",10.5324752018581
"0.215",10.8059866231938
"0.22",11.1265781267972
"0.225",11.3580666900301
"0.23",11.5818537948425
"0.235",11.8208199474382
"0.24",12.0636425732973
"0.245",12.3455059504178
"0.25",12.6375763461539
"0.255",12.9612848938015
"0.26",13.2798563722184
"0.265",13.5618159345049
"0.27",13.7467819757524
"0.275",14.1376465597378
"0.28",14.4965017336732
"0.285",14.8853616713046
"0.29",15.2521808148875
"0.295",15.4794090560868
"0.3",15.7927342342375
"0.305",16.2176358116277
"0.31",16.5417320044027
"0.315",16.9938593097834
"0.32",17.4646895074925
"0.325",17.8230668770883
"0.33",18.0339433634231
"0.335",18.5439735976192
"0.34",18.8324335068802
"0.345",19.32874214993
"0.35",19.8340474857491
"0.355",20.2051713374896
"0.36",20.5153760924411
"0.365",20.9265059068211
"0.37",21.1277381375817
"0.375",21.5104481884587
"0.38",22.0573452954066
"0.385",22.7482304069235
"0.39",23.2481581565621
"0.395",23.6537975593187
"0.4",24.107099570249
"0.405",24.6439642777215
"0.41",24.9062274500362
"0.415",25.6298941288506
"0.42",26.3141661807622
"0.425",27.0913627196021
"0.43",27.8131156284502
"0.435",28.3852371489775
"0.44",29.0429831296924
"0.445",29.6622369711286
"0.45",30.6315231308623
"0.455",31.1016970674316
"0.46",31.9901554347959
"0.465",32.6824399526367
"0.47",33.316061258798
"0.475",33.3998095002072
"0.48",33.8384455434359
"0.485",34.4593198690394
"0.49",34.9681112970957
"0.495",35.2404125849593
"0.5",35.5116905974648
"0.505",36.4864837436709
"0.51",37.1440449066107
"0.515",38.1163140023584
"0.52",38.5683623453606
"0.525",39.4830587877487
"0.53",40.1711390959905
"0.535",40.184302172789
"0.54",41.128110867538
"0.545",41.7415940080879
"0.55",42.2100968730395
"0.555",43.2366492375814
"0.56",43.9197656624033
"0.565",44.5995193733233
"0.57",45.5830778590082
"0.575",46.3985623955785
"0.58",47.4452505757605
"0.585",48.3675936254592
"0.59",49.491545297217
"0.595",49.8984888740882
"0.6",50.6001982525134
"0.605",51.3459292083282
"0.61",51.5844307562206
"0.615",52.4535930656462
"0.62",53.1746834363073
"0.625",53.9503389996841
"0.63",54.3550150178014
"0.635",56.1640975571786
"0.64",57.2796208818125
"0.645",58.9664181934276
"0.65",58.6245316262522
"0.655",60.2877317326364
"0.66",59.519118420737
"0.665",60.0883937652622
"0.67",60.9136531562431
"0.675",61.2722448190095
"0.68",61.9147132347852
"0.685",63.1673930688001
"0.69",63.846866180747
"0.695",64.455240167344
"0.7",64.9079611150609
"0.705",66.0257247772332
"0.71",67.4857951249442
"0.715",69.1083813855085
"0.72",69.8495571646899
"0.725",70.9151473160868
"0.73",72.0725940660268
"0.735",72.2972367618421
"0.74",72.0240410792278
"0.745",74.3791517461956
"0.75",74.4115400772545
"0.755",75.7848217912748
"0.76",76.437509811827
"0.765",77.2652148180477
"0.77",78.3730246578407
"0.775",79.357755897377
"0.78",80.2142742838139
"0.785",80.8459683444329
"0.79",81.9587961498009
"0.795",83.0776196125824
"0.8",83.2587450622493
"0.805",84.0828503391362
"0.81",84.7028501161896
"0.815",85.3621594378257
"0.82",85.7280627954041
"0.825",86.3607569177277
"0.83",86.7857298592826
"0.835",87.8269830166378
"0.84",89.2426809116523
"0.845",92.4104867348182
"0.85",92.6237473930642
"0.855",94.0617920687237
"0.86",94.1815106869261
"0.865",94.7800325391971
"0.87",95.4667818434481
"0.875",97.6208391829252
"0.88",98.1107366433713
"0.885",100.377987276117
"0.89",102.393856208064
"0.895",102.303291675512
"0.9",102.761243385522
"0.905",103.229159952088
"0.91",104.098771157091
"0.915",105.180931613116
"0.92",107.462976716238
"0.925",107.491843242193
"0.93",107.068521856359
"0.935",105.915834788267
"0.94",107.163168241355
"0.945",106.73653990315
"0.95",106.298384157602
"0.955",107.492539572929
"0.96",109.005488864498
"0.965",110.63880865474
"0.97",111.528404666111
"0.975",111.926557503034
"0.98",112.869372521108
"0.985",113.279144923926
"0.99",113.639810056567
