"","x"
"0.005",6.73504597442455
"0.01",6.82520840427274
"0.015",6.95312482151979
"0.02",7.0714024429203
"0.025",7.17801224051954
"0.03",7.3282462299588
"0.035",7.40128195498751
"0.04",7.54598732481504
"0.045",7.62928405926886
"0.05",7.79397056275023
"0.055",7.93470253698798
"0.06",8.0653651273205
"0.065",8.20324557554221
"0.07",8.38242471813005
"0.075",8.544703716536
"0.08",8.67948025200456
"0.085",8.86030469010075
"0.09",9.08312784435707
"0.095",9.25083901536449
"0.1",9.40540179677205
"0.105",9.61309600699657
"0.11",9.82088681087228
"0.115",10.0939078808486
"0.12",10.3681080265124
"0.125",10.6336010227399
"0.13",10.9237649027321
"0.135",11.2713653790464
"0.14",11.4483983879666
"0.145",11.7122568459935
"0.15",11.927038869571
"0.155",12.1919651456703
"0.16",12.4925154316157
"0.165",12.8243156042195
"0.17",13.1550600312636
"0.175",13.420366523603
"0.18",13.7481590988878
"0.185",14.0071260289595
"0.19",14.3263020128454
"0.195",14.6964417690988
"0.2",15.0141928764735
"0.205",15.2651248025897
"0.21",15.5704173805327
"0.215",15.9764272388851
"0.22",16.2832780345708
"0.225",16.7775894575048
"0.23",17.1534887569181
"0.235",17.5404730254854
"0.24",18.0207395396363
"0.245",18.4005818594593
"0.25",19.0699000738776
"0.255",19.5972374875083
"0.26",20.0705947276399
"0.265",20.4422125720285
"0.27",20.9437055955608
"0.275",21.5929966103084
"0.28",22.1386911965188
"0.285",22.6051041156786
"0.29",23.5785644908963
"0.295",24.4152486387028
"0.3",24.8052603444727
"0.305",26.1545636767677
"0.31",26.9284250294645
"0.315",27.6240300959472
"0.32",28.4470646773081
"0.325",29.1240834954145
"0.33",29.711807803488
"0.335",30.4314505167066
"0.34",31.2929739561437
"0.345",32.0837545873271
"0.35",33.2715174458658
"0.355",34.1037419313
"0.36",34.7571887866797
"0.365",35.4800307696173
"0.37",35.4913084281423
"0.375",36.1331767449081
"0.38",37.1766603246478
"0.385",38.5381287630107
"0.39",39.9321936091866
"0.395",40.8632013054294
"0.4",41.874041490288
"0.405",42.9691321165273
"0.41",43.6995895433181
"0.415",45.8107457975159
"0.42",47.0657210958632
"0.425",48.0635380831489
"0.43",49.4631159160667
"0.435",50.4859263690745
"0.44",51.7772247437358
"0.445",52.2362726814265
"0.45",54.0638319961602
"0.455",56.7102999758921
"0.46",57.4314938259622
"0.465",59.4509462950945
"0.47",60.9435300724108
"0.475",63.6863663441714
"0.48",64.5942016534722
"0.485",64.6851021023398
"0.49",65.0995766118112
"0.495",66.4646615224041
"0.5",67.2283188116403
"0.505",69.0933039429749
"0.51",70.2459101113494
"0.515",73.7289530640528
"0.52",74.8071252905369
"0.525",75.972421590542
"0.53",77.1256202980143
"0.535",80.3332288549211
"0.54",81.9849897836748
"0.545",83.26696613112
"0.55",83.4225310187752
"0.555",84.7318700228181
"0.56",87.4888389397457
"0.565",90.7135109578924
"0.57",93.2724975049865
"0.575",91.2778694304609
"0.58",91.2731915500737
"0.585",93.2289003901925
"0.59",95.503837147117
"0.595",95.2765377932473
"0.6",99.2726766504568
"0.605",101.35707428578
"0.61",102.80157718139
"0.615",109.356755326281
"0.62",110.805706488428
"0.625",111.851858517451
"0.63",116.708192026281
"0.635",119.728309006595
"0.64",121.291694263932
"0.645",123.479948782596
"0.65",123.381603630928
"0.655",124.267572460186
"0.66",126.152192087549
"0.665",135.796557789865
"0.67",133.690496823147
"0.675",137.593861849129
"0.68",139.666112881078
"0.685",135.570365498652
"0.69",135.485645089151
"0.695",140.220238765106
"0.7",142.964543682209
"0.705",143.567528853604
"0.71",146.520813134585
"0.715",148.892595201035
"0.72",153.265679542725
"0.725",155.67083127575
"0.73",157.298489958834
"0.735",155.914676702394
"0.74",157.773966195921
"0.745",160.266870773146
"0.75",163.549287622044
"0.755",167.601128200963
"0.76",171.642464182361
"0.765",169.745463857722
"0.77",172.76813058532
"0.775",176.552142800421
"0.78",179.259823906364
"0.785",177.761552778005
"0.79",182.281466200809
"0.795",188.228282520367
"0.8",187.060509638603
"0.805",193.972770431273
"0.81",193.093205574684
"0.815",205.082572416092
"0.82",205.010959390628
"0.825",203.399932496213
"0.83",211.81638687507
"0.835",213.038419845976
"0.84",213.897117421309
"0.845",215.871503875341
"0.85",222.433174513733
"0.855",224.141562498554
"0.86",224.77118792588
"0.865",227.231389461883
"0.87",231.926662513986
"0.875",233.330892084583
"0.88",235.665689309839
"0.885",239.290528741496
"0.89",236.291836120933
"0.895",243.654776222731
"0.9",249.035225839731
"0.905",240.740300201315
"0.91",249.400171907555
"0.915",250.385132177803
"0.92",254.407085870124
"0.925",256.742337272047
"0.93",255.778837190111
"0.935",261.683481760758
"0.94",271.204427494274
"0.945",279.580933057255
"0.95",284.668102452573
"0.955",294.523972812912
"0.96",282.705450768537
"0.965",281.211276605992
"0.97",284.498441095122
"0.975",281.574351530109
"0.98",288.439075009656
"0.985",292.60535939518
"0.99",298.809701006565
