"","x"
"0.005",6.83902016268609
"0.01",7.05191545253398
"0.015",7.25104724592566
"0.02",7.50573054790044
"0.025",7.81200939281161
"0.03",7.98820330510613
"0.035",8.33004724738874
"0.04",8.69461898526745
"0.045",9.08566248117987
"0.05",9.52224196811229
"0.055",9.96171845764532
"0.06",10.5492349522875
"0.065",11.1301971692394
"0.07",11.8145099235155
"0.075",12.3262918065362
"0.08",13.0852263488572
"0.085",13.7377232147778
"0.09",14.4002702058803
"0.095",15.1154630971582
"0.1",16.1026698398264
"0.105",17.1007960045923
"0.11",18.3128650594772
"0.115",19.2689478352566
"0.12",20.6287662480609
"0.125",21.8400601969102
"0.13",22.9436150943162
"0.135",23.8746364479502
"0.14",25.1588938969986
"0.145",26.5287587818995
"0.15",28.5329231040637
"0.155",30.0372338290889
"0.16",32.6395451252463
"0.165",33.642917613627
"0.17",34.6884700102317
"0.175",36.6965773851053
"0.18",37.9653929511226
"0.185",39.3729034946177
"0.19",44.1229448444525
"0.195",45.6398390335034
"0.2",46.8639952345783
"0.205",50.7673979594814
"0.21",53.5391481773092
"0.215",55.433582276769
"0.22",55.9530908330076
"0.225",58.8946223787412
"0.23",61.0876676413686
"0.235",63.4389573968025
"0.24",63.7203669509409
"0.245",65.8430831812387
"0.25",69.7573048379409
"0.255",73.3602512177553
"0.26",74.2275643649637
"0.265",77.7861132227749
"0.27",81.245479689982
"0.275",82.150878284447
"0.28",84.2408038912213
"0.285",86.8686529636062
"0.29",93.4004666018449
"0.295",94.6809671027359
"0.3",99.4093280047788
"0.305",105.904897682417
"0.31",104.305631295596
"0.315",108.874448054358
"0.32",109.022770536676
"0.325",119.217689099805
"0.33",117.868618681336
"0.335",123.685848624947
"0.34",123.113196574305
"0.345",127.161683299342
"0.35",133.714694447476
"0.355",141.773338512642
"0.36",138.110065925475
"0.365",144.467482129418
"0.37",150.471222622235
"0.375",155.123199746084
"0.38",155.862722186309
"0.385",164.333690916075
"0.39",167.106020757399
"0.395",170.149322565651
"0.4",171.013763769962
"0.405",180.141457027339
"0.41",182.576721113781
"0.415",198.913089269191
"0.42",198.885774072392
"0.425",199.501907319274
"0.43",200.354981224812
"0.435",209.088561169327
"0.44",210.471103034554
"0.445",215.691409864078
"0.45",206.128805680731
"0.455",210.611592214326
"0.46",219.961197425729
"0.465",220.459664970214
"0.47",235.46874498583
"0.475",239.854561553765
"0.48",238.296798242794
"0.485",241.273999608904
"0.49",244.828636345178
"0.495",255.581247674883
"0.5",249.232905076453
"0.505",260.12339546004
"0.51",270.216971102654
"0.515",277.983023591805
"0.52",272.308308080092
"0.525",275.930304385309
"0.53",267.988377537916
"0.535",284.201957262651
"0.54",278.231891758322
"0.545",290.058290424855
"0.55",295.181281225849
"0.555",302.249875805213
"0.56",301.982780061321
"0.565",300.143700264465
"0.57",314.223618528067
"0.575",331.999197072153
"0.58",326.222742923445
"0.585",318.577503885449
"0.59",334.051756176614
"0.595",341.361662354207
"0.6",341.568512361194
"0.605",334.100009442107
"0.61",352.5759151033
"0.615",360.421158554455
"0.62",371.500939966207
"0.625",383.393513084428
"0.63",397.325697250878
"0.635",399.090591870333
"0.64",410.779874233151
"0.645",414.156789460186
"0.65",440.995773808658
"0.655",470.687264586135
"0.66",436.851022991076
"0.665",449.65530385704
"0.67",452.087029034337
"0.675",504.175718514102
"0.68",501.880652088013
"0.685",489.917896555957
"0.69",486.463091631967
"0.695",497.728598841824
"0.7",493.380606597675
"0.705",523.372111524096
"0.71",547.256568927835
"0.715",547.263598096602
"0.72",541.581130349731
"0.725",585.894766048389
"0.73",566.474139221263
"0.735",601.53145333046
"0.74",613.58781049835
"0.745",589.291042457869
"0.75",609.800416233461
"0.755",622.104133718122
"0.76",636.635028576589
"0.765",624.511387661916
"0.77",626.560174445746
"0.775",676.954146862044
"0.78",623.192813176647
"0.785",639.046730597958
"0.79",705.529027401024
"0.795",778.184676946813
"0.8",748.69656373193
"0.805",714.482876526891
"0.81",690.67702029884
"0.815",685.72302916231
"0.82",699.08288718796
"0.825",722.117914657537
"0.83",735.905493606146
"0.835",732.172567540246
"0.84",701.857148421771
"0.845",721.227785837039
"0.85",740.639998891621
"0.855",749.607567891825
"0.86",780.977947906668
"0.865",778.395908747408
"0.87",764.945710286688
"0.875",788.265543428305
"0.88",805.602613157574
"0.885",839.514189919222
"0.89",801.162651423786
"0.895",860.108024216271
"0.9",851.043952157228
"0.905",898.803400032001
"0.91",845.394577508691
"0.915",947.275206395171
"0.92",955.864425462744
"0.925",938.392699243223
"0.93",929.474556207261
"0.935",931.546501198906
"0.94",932.571475632142
"0.945",946.981181860412
"0.95",988.14269602564
"0.955",992.389618674755
"0.96",1025.09982167204
"0.965",1022.88039210355
"0.97",1006.18568863728
"0.975",1032.71561643656
"0.98",1011.18824077613
"0.985",1069.86940974117
"0.99",1106.35609381599
