"","x"
"0.005",5.07624334279675
"0.01",5.19509189802792
"0.015",5.33928836957443
"0.02",5.43495128387667
"0.025",5.55307214080107
"0.03",5.66216984073211
"0.035",5.77707612967688
"0.04",5.89891917181415
"0.045",6.01144545451167
"0.05",6.16551382029971
"0.055",6.30981094753399
"0.06",6.45600532882034
"0.065",6.62731988308188
"0.07",6.76960604895815
"0.075",6.94589726298152
"0.08",7.14094088226322
"0.085",7.33302504596274
"0.09",7.52823895489695
"0.095",7.70447011917116
"0.1",7.86957454159172
"0.105",8.03892853604704
"0.11",8.23943241880655
"0.115",8.45331686604035
"0.12",8.68507089163428
"0.125",8.92084406662409
"0.13",9.14967753704664
"0.135",9.39408344890894
"0.14",9.57996127043685
"0.145",9.82769379773497
"0.15",10.0959834624866
"0.155",10.383280787329
"0.16",10.6282280263204
"0.165",10.9132132953482
"0.17",11.1974597601818
"0.175",11.4762478149809
"0.18",11.8039630389742
"0.185",12.1109259774852
"0.19",12.3886697895096
"0.195",12.6873508542959
"0.2",12.951669483477
"0.205",13.3303509280469
"0.21",13.7509737877377
"0.215",14.1413383614646
"0.22",14.509751844462
"0.225",14.887860611804
"0.23",15.2574878934641
"0.235",15.6113665121439
"0.24",15.9375195452857
"0.245",16.330088538031
"0.25",16.7584989501878
"0.255",17.3039456204954
"0.26",17.744397575459
"0.265",18.2204895595931
"0.27",18.7079708403853
"0.275",19.1241378991364
"0.28",19.6005523472079
"0.285",20.0837122546468
"0.29",20.6705012830319
"0.295",21.1984693913268
"0.3",21.8533987476078
"0.305",22.3620387300155
"0.31",22.9821270679114
"0.315",23.580182188227
"0.32",24.2097571034185
"0.325",24.6057532768075
"0.33",25.1832185114049
"0.335",25.8178753093574
"0.34",26.4278996902469
"0.345",26.9497914417169
"0.35",27.7303005371762
"0.355",28.4957900026969
"0.36",29.1948325083747
"0.365",29.9065478304756
"0.37",30.5000684405278
"0.375",31.1578280907686
"0.38",32.0008526369938
"0.385",32.7396950146795
"0.39",33.6823262260114
"0.395",34.7050864689186
"0.4",35.646931821823
"0.405",36.457908312771
"0.41",37.3878605087603
"0.415",38.4314380194118
"0.42",39.4660794260992
"0.425",40.5108851931787
"0.43",41.3723626043093
"0.435",42.2745171005014
"0.44",43.2967566943966
"0.445",44.1727376114788
"0.45",45.2243818376315
"0.455",46.1490985038947
"0.46",47.1699896115274
"0.465",48.0875168212351
"0.47",49.1670646011374
"0.475",50.1754910963835
"0.48",51.404520617294
"0.485",52.7190039510368
"0.49",53.8126357397452
"0.495",54.9519846492773
"0.5",56.0996786144553
"0.505",57.2450491167815
"0.51",58.7390134231639
"0.515",60.1933236906667
"0.52",61.4308632200541
"0.525",62.6028630324057
"0.53",63.7784578234785
"0.535",64.7388264646816
"0.54",66.069536334043
"0.545",67.3413123241666
"0.55",68.7000554854392
"0.555",70.4046942994623
"0.56",71.8956353449088
"0.565",73.2428496130051
"0.57",74.9967434655778
"0.575",76.7218155699608
"0.58",78.1948151573288
"0.585",79.7479063961486
"0.59",81.0673979435209
"0.595",82.6702171483817
"0.6",84.8133055165878
"0.605",86.5853653919751
"0.61",88.3352107484983
"0.615",89.8969208549357
"0.62",91.370137067651
"0.625",92.770158848016
"0.63",94.7876636548082
"0.635",96.8031748759774
"0.64",98.6814307289725
"0.645",100.6497669154
"0.65",102.151848721192
"0.655",103.959889099835
"0.66",106.224610925764
"0.665",108.073363400421
"0.67",110.004795472288
"0.675",112.071180227325
"0.68",114.022977633515
"0.685",116.498861521271
"0.69",118.6336812647
"0.695",120.63474567488
"0.7",122.760036636039
"0.705",124.845282257792
"0.71",126.745961014039
"0.715",129.345455976868
"0.72",132.250166458806
"0.725",134.274103780225
"0.73",136.932913706771
"0.735",139.271345378707
"0.74",141.348865892613
"0.745",143.370728295882
"0.75",146.076307846512
"0.755",148.845618655541
"0.76",151.274238402209
"0.765",154.587686257618
"0.77",157.239817231316
"0.775",160.301120661471
"0.78",163.253833512119
"0.785",166.824156316972
"0.79",169.683845432436
"0.795",172.475938343339
"0.8",174.776159797309
"0.805",177.650706535229
"0.81",180.153860686035
"0.815",182.89147217337
"0.82",185.819139573705
"0.825",188.510819385988
"0.83",191.529961021953
"0.835",193.891496689538
"0.84",196.07304252896
"0.845",198.427848589538
"0.85",202.068923451505
"0.855",205.508436133832
"0.86",207.71506703455
"0.865",209.932356782292
"0.87",213.216850578065
"0.875",216.05382382421
"0.88",218.892011951239
"0.885",222.203059939831
"0.89",225.786629969615
"0.895",229.093808440262
"0.9",232.51715612624
"0.905",236.913519458837
"0.91",240.216618407411
"0.915",244.160715528346
"0.92",247.296993428855
"0.925",250.294262659193
"0.93",253.559383984648
"0.935",256.827000272913
"0.94",260.413832440017
"0.945",264.830557656512
"0.95",268.538585183027
"0.955",271.775254991019
"0.96",275.113547444505
"0.965",278.632437524055
"0.97",282.168263035598
"0.975",286.568921172208
"0.98",290.214844551205
"0.985",293.50375980943
"0.99",297.403427407688
