"","x"
"0.005",6.83697059238262
"0.01",7.03468157421656
"0.015",7.26129058233458
"0.02",7.50004449861024
"0.025",7.78448131666238
"0.03",7.98491161630085
"0.035",8.33213421151451
"0.04",8.68048483013575
"0.045",9.04410789729163
"0.05",9.37764327174957
"0.055",9.83696650418857
"0.06",10.3426197881915
"0.065",10.8577048978714
"0.07",11.436769776805
"0.075",11.9846925373689
"0.08",12.5908483723906
"0.085",13.4757734248128
"0.09",14.1751321218266
"0.095",14.8633195375837
"0.1",15.5570095554763
"0.105",16.3966023252403
"0.11",17.5627878668725
"0.115",18.8408708546455
"0.12",19.8757807323602
"0.125",21.6666431563149
"0.13",22.685510030555
"0.135",23.7054719287764
"0.14",25.0579926050437
"0.145",26.4481305634673
"0.15",28.3161745903635
"0.155",30.8114562464224
"0.16",31.4791201027936
"0.165",33.2343032424099
"0.17",34.6520597560578
"0.175",36.1941834654083
"0.18",37.1378147982266
"0.185",39.5669774902568
"0.19",42.9596047675832
"0.195",44.6084146127608
"0.2",46.5882116126896
"0.205",49.862766792289
"0.21",50.2240180109799
"0.215",55.0264664600363
"0.22",58.4883641961219
"0.225",61.9419000520597
"0.23",62.9972604879323
"0.235",66.3601381237235
"0.24",66.973275132262
"0.245",69.6588138200678
"0.25",71.610346563019
"0.255",74.3144118057668
"0.26",78.4183676425878
"0.265",77.7146038304799
"0.27",78.5783005220052
"0.275",83.8330814504417
"0.28",87.3989974608615
"0.285",91.1097590408046
"0.29",92.5901584966412
"0.295",95.2015436976623
"0.3",100.612550788693
"0.305",104.786180507799
"0.31",106.822614387387
"0.315",109.736995481315
"0.32",113.588260843158
"0.325",114.489867105337
"0.33",118.130402568806
"0.335",121.571593444478
"0.34",125.895146867387
"0.345",128.079459975002
"0.35",133.201741943169
"0.355",136.584420669343
"0.36",139.525678193367
"0.365",143.494983240299
"0.37",150.147513263422
"0.375",149.171747083032
"0.38",154.122660243921
"0.385",156.942924368155
"0.39",160.303733394454
"0.395",166.304051447588
"0.4",165.424707235078
"0.405",170.334700603613
"0.41",174.21047144882
"0.415",188.296961942336
"0.42",192.242882051967
"0.425",187.075365712984
"0.43",204.551929856205
"0.435",208.969177705253
"0.44",201.886605666953
"0.445",200.312640944204
"0.45",213.158950458101
"0.455",208.493785539266
"0.46",214.568623063377
"0.465",225.646252810111
"0.47",227.636750784228
"0.475",233.041699744823
"0.48",229.499219967898
"0.485",236.002975704491
"0.49",247.860801649385
"0.495",252.114665572649
"0.5",241.076048776067
"0.505",253.221276336749
"0.51",252.086932512688
"0.515",274.037672420631
"0.52",283.649230674432
"0.525",280.388615997199
"0.53",278.571646185323
"0.535",290.770001100491
"0.54",300.042452020505
"0.545",293.145287855274
"0.55",301.168225780981
"0.555",304.809910819113
"0.56",296.922979582867
"0.565",298.511218537731
"0.57",306.076327731729
"0.575",328.76816046828
"0.58",347.869781668761
"0.585",342.599928739157
"0.59",340.790137930845
"0.595",352.80179624863
"0.6",360.149337328574
"0.605",379.630372569559
"0.61",367.539490688995
"0.615",372.482561851869
"0.62",363.865994664637
"0.625",382.803485298346
"0.63",392.987199781855
"0.635",421.594690429233
"0.64",408.591432747973
"0.645",416.311062015806
"0.65",410.528119989309
"0.655",429.662780996709
"0.66",413.381058085388
"0.665",436.648695315718
"0.67",440.764781937426
"0.675",448.698919628063
"0.68",454.517296096778
"0.685",480.656844601834
"0.69",483.580492858784
"0.695",496.019063538255
"0.7",519.272741333853
"0.705",515.682153496211
"0.71",547.609051857671
"0.715",546.883396486482
"0.72",539.722033651203
"0.725",569.476442845015
"0.73",584.636012369952
"0.735",586.369318156643
"0.74",572.692569588368
"0.745",627.866143560259
"0.75",620.002058983143
"0.755",607.158706286027
"0.76",609.756163155544
"0.765",633.736102659315
"0.77",592.055425153525
"0.775",624.867505461782
"0.78",682.978309822889
"0.785",690.42455746885
"0.79",656.732283342648
"0.795",675.19434083719
"0.8",707.243257512763
"0.805",729.501768555005
"0.81",739.455048332057
"0.815",696.469353875588
"0.82",751.986340327317
"0.825",756.901003804794
"0.83",750.19740274332
"0.835",783.015217180285
"0.84",759.509246237175
"0.845",803.277937500652
"0.85",814.696937742627
"0.855",845.83427352905
"0.86",826.758039235699
"0.865",813.480521639911
"0.87",820.640519272482
"0.875",872.334797845991
"0.88",875.583289889987
"0.885",863.323315002729
"0.89",914.684798528819
"0.895",950.270270792375
"0.9",877.646909754636
"0.905",925.032703356482
"0.91",912.721090564044
"0.915",950.103460410975
"0.92",955.970154101693
"0.925",973.92228579164
"0.93",1013.66771009066
"0.935",978.962639461803
"0.94",991.072970841824
"0.945",1049.94996090105
"0.95",1002.74309347888
"0.955",995.767974036621
"0.96",1036.80654397923
"0.965",1023.85197467054
"0.97",1034.63227667839
"0.975",1083.2925145508
"0.98",1100.87942970682
"0.985",1096.64356665604
"0.99",1137.6264381826
