"","x"
"0.005",2.71394610690627
"0.01",2.78289780486178
"0.015",2.84642106348712
"0.02",2.90688065577182
"0.025",2.94858023812124
"0.03",3.01293994826267
"0.035",3.0820327712387
"0.04",3.14618368463761
"0.045",3.2025833976859
"0.05",3.27216152869507
"0.055",3.34651621090363
"0.06",3.42026525914507
"0.065",3.50898861504782
"0.07",3.58952428117362
"0.075",3.68593381589522
"0.08",3.76079719939545
"0.085",3.86116152436602
"0.09",3.94785982210655
"0.095",4.06106082568234
"0.1",4.16665650599312
"0.105",4.26378154612029
"0.11",4.37211437705726
"0.115",4.48993390395339
"0.12",4.61054192305952
"0.125",4.73807117740795
"0.13",4.88915819780497
"0.135",5.0224262806224
"0.14",5.1543392264902
"0.145",5.27174109172015
"0.15",5.39062714846275
"0.155",5.52972993588039
"0.16",5.72231996585254
"0.165",5.89212359700925
"0.17",6.04062096013171
"0.175",6.18521318594388
"0.18",6.3261013222236
"0.185",6.52626119798849
"0.19",6.70878845699311
"0.195",6.88046998387306
"0.2",7.08126899239825
"0.205",7.24195909997744
"0.21",7.47342191447133
"0.215",7.68774583172706
"0.22",7.90408509082068
"0.225",8.09336023715597
"0.23",8.27673252802176
"0.235",8.47510260177618
"0.24",8.71261765874926
"0.245",8.910468289956
"0.25",9.10385403048673
"0.255",9.31085875686579
"0.26",9.53128293356906
"0.265",9.80586387864598
"0.27",10.1325871037564
"0.275",10.4230853569775
"0.28",10.7872181309123
"0.285",11.1104101330574
"0.29",11.3594932132227
"0.295",11.7147467320053
"0.3",11.9709089135133
"0.305",12.2349934030098
"0.31",12.4932406282983
"0.315",12.8474779579082
"0.32",13.1916257131669
"0.325",13.4813153996475
"0.33",13.7930334687897
"0.335",14.2209894888746
"0.34",14.5091892440735
"0.345",14.9327512679774
"0.35",15.2670725651947
"0.355",15.7003105893596
"0.36",15.9777718045741
"0.365",16.4114433937404
"0.37",16.7772728456584
"0.375",17.0686600179999
"0.38",17.2978365425057
"0.385",17.6042354438644
"0.39",18.08468647582
"0.395",18.466293947846
"0.4",18.819357838168
"0.405",19.1797386573254
"0.41",19.7189824605275
"0.415",20.0260416365153
"0.42",20.5104980417698
"0.425",20.8847574105893
"0.43",21.1479408662261
"0.435",21.6688163542128
"0.44",22.0821137838364
"0.445",22.3845270488362
"0.45",22.901797065575
"0.455",23.1575457313152
"0.46",23.5670934522184
"0.465",24.0832861531874
"0.47",24.5367375000309
"0.475",24.7306872379788
"0.48",25.2691151906919
"0.485",25.606621051417
"0.49",25.8006002362518
"0.495",26.0103519502428
"0.5",26.3742452657903
"0.505",27.1226617248599
"0.51",27.3634076965806
"0.515",28.2039970719166
"0.52",28.7139188977366
"0.525",28.9338283854604
"0.53",29.3770758126884
"0.535",29.8224069724808
"0.54",30.5777881053418
"0.545",31.001538959607
"0.55",31.6481613648657
"0.555",32.0769502791692
"0.56",32.4584393210481
"0.565",33.3629412314699
"0.57",34.1492485438216
"0.575",34.477544808668
"0.58",35.1462401160244
"0.585",35.7765569757784
"0.59",36.8044960365317
"0.595",37.0655414770788
"0.6",37.6344571045724
"0.605",38.448685267584
"0.61",38.9276243874507
"0.615",39.9498675315694
"0.62",40.3646313455471
"0.625",41.496359893064
"0.63",42.2549009602314
"0.635",43.0591716980975
"0.64",43.619000714607
"0.645",44.2205689548301
"0.65",45.1679052006544
"0.655",45.5139009233034
"0.66",46.2034640562499
"0.665",47.5106410121113
"0.67",48.3307448062978
"0.675",48.8529420254209
"0.68",49.8091804966368
"0.685",50.6397575557333
"0.69",51.1960927244695
"0.695",51.9305517788044
"0.7",52.646212944572
"0.705",53.8737099622948
"0.71",54.6920814118977
"0.715",55.907131320166
"0.72",56.6591420834365
"0.725",57.0742590485792
"0.73",57.5920219004007
"0.735",58.5628020803081
"0.74",59.3016506037081
"0.745",60.3790031373514
"0.75",60.7264535275547
"0.755",61.7638659198928
"0.76",62.518282223243
"0.765",63.2360929923453
"0.77",63.57737038081
"0.775",64.8581058710394
"0.78",65.2625023443658
"0.785",65.8327236546963
"0.79",66.9688610704114
"0.795",67.5792129359052
"0.8",67.7033822478714
"0.805",69.4375872344807
"0.81",69.3063625368628
"0.815",70.7962905620691
"0.82",70.7338609795836
"0.825",71.3457392311482
"0.83",72.2051794566189
"0.835",72.4496214279628
"0.84",73.5256725556277
"0.845",73.846488869834
"0.85",74.6032378376297
"0.855",75.7311550901034
"0.86",75.6967168069949
"0.865",77.1982679809945
"0.87",77.3558004393977
"0.875",78.1184076629743
"0.88",78.9019639595753
"0.885",79.569457637279
"0.89",80.8862352161649
"0.895",80.6053755589784
"0.9",81.8201555970556
"0.905",82.4556902472417
"0.91",83.3775745578012
"0.915",85.0248765218854
"0.92",85.9041505410659
"0.925",86.3369751623531
"0.93",87.005555763632
"0.935",87.4955958561118
"0.94",89.7140078872864
"0.945",91.1443046774282
"0.95",92.1499753793274
"0.955",93.5174051487521
"0.96",93.8239616046055
"0.965",94.0760951256601
"0.97",95.710404857749
"0.975",97.7829593838415
"0.98",98.0288283492557
"0.985",98.4009936976262
"0.99",99.1985043033076
