"","x"
"0.005",2.69168130848632
"0.01",2.72747683067552
"0.015",2.76421344010585
"0.02",2.79629546689471
"0.025",2.8403627823752
"0.03",2.86808544351555
"0.035",2.90034055427409
"0.04",2.92723957039294
"0.045",2.95752559822298
"0.05",2.98788035660279
"0.055",3.02665372357661
"0.06",3.06372177986325
"0.065",3.10218794751019
"0.07",3.14524366663725
"0.075",3.17989451797537
"0.08",3.21321600948856
"0.085",3.24595310611745
"0.09",3.28168852413885
"0.095",3.32395633428175
"0.1",3.36708024271052
"0.105",3.41287230839158
"0.11",3.45521784187652
"0.115",3.50213982330629
"0.12",3.55020362532694
"0.125",3.6003421746005
"0.13",3.64899622220821
"0.135",3.69690683728358
"0.14",3.74151427622483
"0.145",3.78560222488675
"0.15",3.83405436042156
"0.155",3.88149187986552
"0.16",3.93870155028829
"0.165",3.99101644559117
"0.17",4.04019329908888
"0.175",4.09819716499109
"0.18",4.14903116716149
"0.185",4.20967291764963
"0.19",4.27064429059162
"0.195",4.34438359433021
"0.2",4.39353910276385
"0.205",4.44591033050833
"0.21",4.50247437385804
"0.215",4.56741320935526
"0.22",4.62628428130964
"0.225",4.70650357188418
"0.23",4.77053305374235
"0.235",4.84830371047661
"0.24",4.92043956105757
"0.245",4.99923356742652
"0.25",5.08074353705113
"0.255",5.14959436398498
"0.26",5.22022056292905
"0.265",5.29352946729284
"0.27",5.36387928894294
"0.275",5.44482179330096
"0.28",5.52153904350804
"0.285",5.6014445916284
"0.29",5.68419781106911
"0.295",5.77536068665493
"0.3",5.83861028553477
"0.305",5.91499971893102
"0.31",6.00401113750317
"0.315",6.09089140827018
"0.32",6.18250413079149
"0.325",6.25939722524934
"0.33",6.35958715176798
"0.335",6.45576298625696
"0.34",6.54547788565604
"0.345",6.63087585203608
"0.35",6.70728753586264
"0.355",6.83641314661049
"0.36",6.93965053478253
"0.365",7.0410567488438
"0.37",7.15982844135231
"0.375",7.2657426568398
"0.38",7.37269338196879
"0.385",7.48798052099309
"0.39",7.60103163135698
"0.395",7.70505230524136
"0.4",7.83455042331129
"0.405",7.96551151744887
"0.41",8.07046597682447
"0.415",8.20318125736274
"0.42",8.33504438215161
"0.425",8.46771632550602
"0.43",8.61867671599454
"0.435",8.76263395519798
"0.44",8.89463516347445
"0.445",9.0205137624161
"0.45",9.14637974602787
"0.455",9.26284930947352
"0.46",9.36731645992417
"0.465",9.45603855485283
"0.47",9.60002220620477
"0.475",9.73876385694785
"0.48",9.8645017832941
"0.485",10.0054256028631
"0.49",10.1291514838101
"0.495",10.3021594286079
"0.5",10.464026411382
"0.505",10.5988102934823
"0.51",10.749729372918
"0.515",10.8920291880997
"0.52",11.0644218269103
"0.525",11.2197593125642
"0.53",11.3422112525511
"0.535",11.5248363449511
"0.54",11.6730090752687
"0.545",11.9001775830113
"0.55",12.0483206335936
"0.555",12.2471294669062
"0.56",12.3281019143138
"0.565",12.4335841814388
"0.57",12.6114414334101
"0.575",12.8525444076864
"0.58",13.0159397162846
"0.585",13.1524734725739
"0.59",13.3648476588236
"0.595",13.5565137434114
"0.6",13.7437846776168
"0.605",13.9638828264268
"0.61",14.1130575323742
"0.615",14.31804373115
"0.62",14.477807789507
"0.625",14.6768909896553
"0.63",14.8282952563333
"0.635",15.0150573930301
"0.64",15.2081765233542
"0.645",15.4429930872117
"0.65",15.6507978243157
"0.655",15.8725686160408
"0.66",15.9855786970709
"0.665",16.1997257280203
"0.67",16.3900796810787
"0.675",16.6288900355649
"0.68",16.7735393648479
"0.685",17.0354124704044
"0.69",17.2670626518987
"0.695",17.4697739157281
"0.7",17.7089691220553
"0.705",17.9464593681814
"0.71",18.1029824990992
"0.715",18.2869518706688
"0.72",18.5008201477988
"0.725",18.7616099781856
"0.73",18.94360219047
"0.735",19.1176110078722
"0.74",19.292016657522
"0.745",19.519006030356
"0.75",19.7327818893032
"0.755",19.8883846396078
"0.76",20.1476779495506
"0.765",20.2915974025057
"0.77",20.5506636762452
"0.775",20.8457083244559
"0.78",21.1140979440779
"0.785",21.3889290323799
"0.79",21.5678814927022
"0.795",21.6893576261052
"0.8",21.9301833172761
"0.805",22.1718225401286
"0.81",22.4032265591464
"0.815",22.6019010853977
"0.82",22.8324898132787
"0.825",23.1596627507362
"0.83",23.3831965028056
"0.835",23.6269100201161
"0.84",23.868801603872
"0.845",24.1290349240789
"0.85",24.4407666488645
"0.855",24.5787149284876
"0.86",24.7670010846097
"0.865",25.115543868611
"0.87",25.4465012975825
"0.875",25.6781511240567
"0.88",25.7571033178512
"0.885",25.9891012713572
"0.89",26.2716082392212
"0.895",26.483439146879
"0.9",26.6149277723758
"0.905",26.8814281658019
"0.91",27.0548729766618
"0.915",27.239845430634
"0.92",27.4964000424716
"0.925",27.761899998466
"0.93",27.8640387017185
"0.935",28.1856399403016
"0.94",28.4294647904223
"0.945",28.7809627268234
"0.95",28.912746044791
"0.955",28.8206947405995
"0.96",28.9917723660533
"0.965",29.2396934022211
"0.97",29.4540901259899
"0.975",29.917452561193
"0.98",29.9347001834266
"0.985",30.2270386284918
"0.99",30.6076059665081
