"","x"
"0.005",5.02687368607713
"0.01",5.10202987546908
"0.015",5.17397706471483
"0.02",5.20985842632128
"0.025",5.28516075443111
"0.03",5.36735536804017
"0.035",5.42677868561613
"0.04",5.48628756088395
"0.045",5.55276238416813
"0.05",5.61383952818819
"0.055",5.67108357270554
"0.06",5.74374639599004
"0.065",5.80862380209883
"0.07",5.8934813549592
"0.075",5.95987555299028
"0.08",6.0147778361976
"0.085",6.08248674268378
"0.09",6.14698678844588
"0.095",6.21933189333074
"0.1",6.29252698518932
"0.105",6.37179384185299
"0.11",6.44191915117182
"0.115",6.53920057925345
"0.12",6.62838255376118
"0.125",6.69373682049683
"0.13",6.76647907647423
"0.135",6.87721127944652
"0.14",6.97918326081244
"0.145",7.08232316525712
"0.15",7.17473494532823
"0.155",7.24615569882849
"0.16",7.34758541162988
"0.165",7.44332942348553
"0.17",7.52555462338344
"0.175",7.60335628064541
"0.18",7.70975013986703
"0.185",7.80394119317256
"0.19",7.90928264208765
"0.195",7.99217769070002
"0.2",8.10290058952909
"0.205",8.21843140231556
"0.21",8.34326266015219
"0.215",8.46247242535227
"0.22",8.56606463292424
"0.225",8.66378953104442
"0.23",8.77551824011136
"0.235",8.87501761656383
"0.24",9.00382725268954
"0.245",9.12503472071145
"0.25",9.24856102410396
"0.255",9.34581085835305
"0.26",9.45528656950401
"0.265",9.57804163749964
"0.27",9.72136925861302
"0.275",9.8426298842441
"0.28",9.99845806117381
"0.285",10.1185689588423
"0.29",10.2518549577606
"0.295",10.3846210460209
"0.3",10.5025003636419
"0.305",10.6123029651307
"0.31",10.7192855639664
"0.315",10.8715525792104
"0.32",11.0070434292655
"0.325",11.1664616870263
"0.33",11.2869132505855
"0.335",11.449988902128
"0.34",11.6088201150881
"0.345",11.7877450778275
"0.35",11.967534080728
"0.355",12.1020917251159
"0.36",12.2329435354816
"0.365",12.3904360472292
"0.37",12.5412561221894
"0.375",12.7341648703879
"0.38",12.891471157863
"0.385",13.0455751870025
"0.39",13.2194730103686
"0.395",13.3912472571308
"0.4",13.562964043904
"0.405",13.7701313392496
"0.41",13.9985886660462
"0.415",14.183146687556
"0.42",14.3383247453589
"0.425",14.4974402411503
"0.43",14.6779104516655
"0.435",14.8795931499634
"0.44",15.0401822391869
"0.445",15.2103945617513
"0.45",15.3933859392374
"0.455",15.5798737273506
"0.46",15.7653750495296
"0.465",15.990263021337
"0.47",16.2264695163075
"0.475",16.4053127505403
"0.48",16.6759536940705
"0.485",16.9061829557655
"0.49",17.0771795660286
"0.495",17.3067855097437
"0.5",17.5172086615598
"0.505",17.7464073763736
"0.51",17.9239932084168
"0.515",18.1968214024287
"0.52",18.3990439129599
"0.525",18.6623190131489
"0.53",18.8476459562367
"0.535",19.0654685002539
"0.54",19.2273538286096
"0.545",19.4488604824743
"0.55",19.7042827797556
"0.555",19.9817970635079
"0.56",20.2111008102674
"0.565",20.4088172425466
"0.57",20.6857618992325
"0.575",20.9351517435762
"0.58",21.2018606247722
"0.585",21.4508404642328
"0.59",21.6999660138054
"0.595",21.9845980065841
"0.6",22.2774732939904
"0.605",22.5649702042353
"0.61",22.7690253769537
"0.615",23.0576349376573
"0.62",23.3690273938004
"0.625",23.6087351222364
"0.63",23.907751983987
"0.635",24.2187993882869
"0.64",24.5470993675146
"0.645",24.7859742776097
"0.65",25.0882002084095
"0.655",25.3130610506795
"0.66",25.603229620902
"0.665",25.9233638173382
"0.67",26.1603839651233
"0.675",26.5793694350244
"0.68",26.8931314130997
"0.685",27.2838528424526
"0.69",27.4963097775211
"0.695",27.8059848507236
"0.7",28.1091725075746
"0.705",28.4418397364573
"0.71",28.6765430230167
"0.715",29.0632324984892
"0.72",29.3932706663047
"0.725",29.7470859320081
"0.73",30.0994483954231
"0.735",30.4353679930775
"0.74",30.7795241244764
"0.745",31.0794818321037
"0.75",31.3678858651561
"0.755",31.7183204051496
"0.76",32.0552203725989
"0.765",32.4260067353845
"0.77",32.8479927428447
"0.775",33.1971545389672
"0.78",33.5700272271162
"0.785",33.9738766974071
"0.79",34.3576815186118
"0.795",34.8353273752408
"0.8",35.2053584788669
"0.805",35.6425747938195
"0.81",36.0379641224225
"0.815",36.4714583457307
"0.82",37.0442413660452
"0.825",37.4619711679515
"0.83",37.9337479710677
"0.835",38.3741500392727
"0.84",38.8687502177289
"0.845",39.3711717626071
"0.85",39.7254183692363
"0.855",40.1229708796467
"0.86",40.5385331027841
"0.865",40.9074447081452
"0.87",41.3407603657784
"0.875",41.7220727526177
"0.88",42.1079411325748
"0.885",42.5265832973919
"0.89",42.9694666233441
"0.895",43.3809958069633
"0.9",43.7776355241381
"0.905",44.3755203039476
"0.91",44.7451793368809
"0.915",45.1213749917722
"0.92",45.4928804272232
"0.925",46.0514257385123
"0.93",46.6674384108561
"0.935",47.1271340081636
"0.94",47.5770872572141
"0.945",48.1198723331837
"0.95",48.535691407169
"0.955",48.9359833512304
"0.96",49.2924121854034
"0.965",49.6465113806648
"0.97",50.0449194758235
"0.975",50.4245358363248
"0.98",50.8690876489755
"0.985",51.2999784936678
"0.99",51.7682351303818
