"","x"
"0.005",6.73086097513374
"0.01",6.83993491314193
"0.015",6.95628597464362
"0.02",7.08326444772958
"0.025",7.17477609792125
"0.03",7.32990574905996
"0.035",7.44367178213118
"0.04",7.57276109812197
"0.045",7.66179518141741
"0.05",7.82310408742133
"0.055",7.95992142263266
"0.06",8.09809849190177
"0.065",8.26741696004568
"0.07",8.48068877461861
"0.075",8.63605818951152
"0.08",8.79378277929506
"0.085",8.98257436619786
"0.09",9.16064433995199
"0.095",9.39796628014607
"0.1",9.51141834872796
"0.105",9.76826314963699
"0.11",9.99383680727082
"0.115",10.2279625032135
"0.12",10.5560364898719
"0.125",10.8266046111437
"0.13",11.1215653390088
"0.135",11.445723164155
"0.14",11.7764510175237
"0.145",12.0084089630209
"0.15",12.2908338429471
"0.155",12.6430121529795
"0.16",12.9582972377227
"0.165",13.3287989196587
"0.17",13.6163035884794
"0.175",13.9451173038471
"0.18",14.2397129903761
"0.185",14.6674493360273
"0.19",14.9837867337386
"0.195",15.2384130031442
"0.2",15.745166178149
"0.205",16.2438626688856
"0.21",16.6139934979521
"0.215",17.0628607581007
"0.22",17.6772484358993
"0.225",18.0997516367027
"0.23",18.5522166310574
"0.235",19.0848834098448
"0.24",19.6483063546154
"0.245",20.335612182262
"0.25",20.7182450408131
"0.255",21.3330770561576
"0.26",21.9710698912694
"0.265",22.4696591089131
"0.27",23.1029503456186
"0.275",23.6899950777295
"0.28",24.5852995883024
"0.285",25.2516612700144
"0.29",25.9272741852138
"0.295",27.1474832775665
"0.3",27.9931670309543
"0.305",29.0902349305979
"0.31",29.891499965508
"0.315",31.1761957824702
"0.32",32.0002220841739
"0.325",33.0372077790946
"0.33",33.2377860623728
"0.335",34.4714949903894
"0.34",35.2830992884666
"0.345",36.5306715794936
"0.35",37.8824060931625
"0.355",37.9862945565177
"0.36",39.4093180850139
"0.365",40.747335443931
"0.37",41.8056793523093
"0.375",43.2914536680222
"0.38",44.1938030223858
"0.385",45.4995632920913
"0.39",47.3826629861678
"0.395",47.4511328593266
"0.4",48.5601125119596
"0.405",50.5499664166991
"0.41",50.7919673817404
"0.415",52.0926962247873
"0.42",53.0022202110772
"0.425",55.6880884929887
"0.43",56.6353925125921
"0.435",58.1827337525643
"0.44",59.7541128530219
"0.445",62.5489560626357
"0.45",64.6707278596001
"0.455",66.328663786022
"0.46",69.1101840849989
"0.465",70.8898786910956
"0.47",74.7426482579143
"0.475",76.0979206398909
"0.48",77.3234884233762
"0.485",78.6902132186347
"0.49",79.4935265161219
"0.495",80.7001506271299
"0.5",79.4064250969052
"0.505",79.3309854980444
"0.51",79.2101655238416
"0.515",81.7060189672557
"0.52",83.8160671144195
"0.525",85.0704699384285
"0.53",85.7249941910013
"0.535",86.3038513984414
"0.54",88.8559992804923
"0.545",90.1152411746652
"0.55",89.0943631931849
"0.555",92.8772396080564
"0.56",94.3816069516895
"0.565",97.0464143591079
"0.57",97.7211338680155
"0.575",97.6911299489651
"0.58",100.148362638859
"0.585",103.415084232093
"0.59",105.300565889823
"0.595",104.743750766677
"0.6",109.516712224862
"0.605",107.626444198582
"0.61",107.895096036728
"0.615",112.99526829563
"0.62",116.387105838258
"0.625",118.032628083322
"0.63",115.466892588894
"0.635",119.638229433487
"0.64",120.794628421828
"0.645",125.264082534397
"0.65",125.866044002045
"0.655",130.669622382171
"0.66",133.745995795973
"0.665",132.818262120716
"0.67",135.252633397681
"0.675",138.926411306344
"0.68",138.434178698194
"0.685",137.707830788354
"0.69",140.002425188774
"0.695",142.003836543769
"0.7",141.720477649422
"0.705",142.739924993982
"0.71",146.771373925025
"0.715",145.658500033549
"0.72",150.078487598693
"0.725",149.183039175469
"0.73",157.741666143126
"0.735",158.443528596355
"0.74",153.691705360304
"0.745",159.903487872606
"0.75",158.888001416034
"0.755",161.61456984404
"0.76",165.426150924777
"0.765",170.198436994832
"0.77",176.753597499603
"0.775",176.196659488483
"0.78",176.958793882176
"0.785",174.056718533496
"0.79",170.643318374653
"0.795",175.978491585796
"0.8",176.264096906952
"0.805",176.933271003421
"0.81",182.918544651971
"0.815",184.389734173897
"0.82",188.983991413275
"0.825",192.601576873212
"0.83",194.310070613842
"0.835",193.923296839027
"0.84",192.532126853457
"0.845",200.313145515033
"0.85",201.981588980433
"0.855",212.16879171099
"0.86",206.541703743796
"0.865",212.127574663268
"0.87",210.384225681214
"0.875",216.211239682637
"0.88",217.309233064195
"0.885",221.360713585463
"0.89",230.706955127084
"0.895",232.620169344533
"0.9",233.369069207893
"0.905",229.626419349297
"0.91",234.49618725007
"0.915",233.12305588997
"0.92",237.968352447894
"0.925",241.233339788236
"0.93",241.09069046678
"0.935",234.727196674186
"0.94",239.847749835621
"0.945",243.654521984921
"0.95",240.325976972847
"0.955",251.129599490367
"0.96",250.361033211111
"0.965",262.056298091903
"0.97",262.896434571982
"0.975",260.67613669697
"0.98",265.701352809219
"0.985",259.78604675051
"0.99",254.094670209353
