"","x"
"0.005",5.04107126336551
"0.01",5.14054049424792
"0.015",5.21468445312026
"0.02",5.28109167879734
"0.025",5.38231892332937
"0.03",5.46482212619178
"0.035",5.53868582252194
"0.04",5.61023129398397
"0.045",5.68067074513862
"0.05",5.77335820770797
"0.055",5.88304901392083
"0.06",5.97042977384335
"0.065",6.06728802388111
"0.07",6.16684191434967
"0.075",6.23219315778811
"0.08",6.33306238053458
"0.085",6.44098680787486
"0.09",6.57298751673991
"0.095",6.67966306200094
"0.1",6.74728739038033
"0.105",6.85579948269912
"0.11",6.95306372755964
"0.115",7.1093211310337
"0.12",7.24818315881401
"0.125",7.36998245857589
"0.13",7.51350945415434
"0.135",7.65393297491334
"0.14",7.7610228299631
"0.145",7.89485149767066
"0.15",8.05178392254679
"0.155",8.20879586753015
"0.16",8.35021266607043
"0.165",8.51091331026759
"0.17",8.67623781312371
"0.175",8.85171458255181
"0.18",8.99907441252261
"0.185",9.17438994144405
"0.19",9.37094062202486
"0.195",9.54889106494785
"0.2",9.72896059616122
"0.205",9.95301788920713
"0.21",10.1371129188015
"0.215",10.3661743120194
"0.22",10.58108515505
"0.225",10.7923453151868
"0.23",11.011805193668
"0.235",11.2325388452336
"0.24",11.4571447912255
"0.245",11.6722417935845
"0.25",11.975740834764
"0.255",12.2098452598461
"0.26",12.4369165729747
"0.265",12.657148470201
"0.27",12.9577057783254
"0.275",13.1874658231646
"0.28",13.5526992790372
"0.285",13.8532719176851
"0.29",14.2103183042102
"0.295",14.5438142157032
"0.3",14.8675480250865
"0.305",15.1788583282468
"0.31",15.4973378847777
"0.315",15.8190904921571
"0.32",16.1712604706598
"0.325",16.4311587219884
"0.33",16.6919389521827
"0.335",17.0117626741025
"0.34",17.3679258065037
"0.345",17.6927302518692
"0.35",18.0981296184004
"0.355",18.5048386111009
"0.36",18.8226241024541
"0.365",19.2516378091234
"0.37",19.5375155940403
"0.375",19.8479997228023
"0.38",20.2390234727393
"0.385",20.6620177684401
"0.39",21.1208780657126
"0.395",21.6564286595472
"0.4",22.0375505039907
"0.405",22.7450669790696
"0.41",23.0984228917773
"0.415",23.6853050947072
"0.42",24.4476122384489
"0.425",24.7653478817955
"0.43",25.2478924400633
"0.435",25.7531893766924
"0.44",26.0927422876946
"0.445",26.9097828822667
"0.45",27.6358994242691
"0.455",28.083519142371
"0.46",28.624642929974
"0.465",29.2135837795413
"0.47",29.6436700761639
"0.475",30.4741426716407
"0.48",31.0601871080573
"0.485",31.4633480801205
"0.49",31.9627937675357
"0.495",32.6838416336557
"0.5",33.0887341456965
"0.505",33.861547707103
"0.51",34.4453114868667
"0.515",35.2015182636426
"0.52",35.6260044622162
"0.525",36.1938377008784
"0.53",36.9337748185075
"0.535",37.7897576501415
"0.54",38.4261167805872
"0.545",39.2905962113745
"0.55",39.7400882873958
"0.555",40.502675462275
"0.56",41.4286717525132
"0.565",41.7996702916268
"0.57",42.7410595211697
"0.575",43.0865598399922
"0.58",43.45814322684
"0.585",43.8411498900853
"0.59",44.6761019101043
"0.595",45.9266445614614
"0.6",47.0739033675606
"0.605",47.8487063280725
"0.61",48.3974493944325
"0.615",49.7642888016125
"0.62",50.5266857023298
"0.625",51.095260045927
"0.63",51.8810778750067
"0.635",52.8875297277507
"0.64",53.8054512701287
"0.645",54.443359377958
"0.65",55.4945156244437
"0.655",56.3238866896757
"0.66",57.6152339232984
"0.665",58.9410233352606
"0.67",59.9916141161307
"0.675",60.758893787609
"0.68",61.6759214366222
"0.685",61.7481384872954
"0.69",62.669489345041
"0.695",64.0663415838955
"0.7",64.7877245784093
"0.705",65.0353744387731
"0.71",66.5100515111971
"0.715",67.7025860381368
"0.72",69.0674145437122
"0.725",70.0857610383896
"0.73",71.3198254133158
"0.735",71.615064950621
"0.74",72.7889869767932
"0.745",73.7020418535257
"0.75",74.5982134728104
"0.755",75.505863887712
"0.76",76.0796466222671
"0.765",77.5097880697399
"0.77",78.6671397433994
"0.775",78.9314895446283
"0.78",80.4294529966921
"0.785",81.2872902207926
"0.79",82.1822928798976
"0.795",83.6924886380657
"0.8",83.6435830162933
"0.805",84.9767533608745
"0.81",85.8334844941376
"0.815",87.0465455426526
"0.82",88.3579312219055
"0.825",88.6973185859231
"0.83",91.6146768186881
"0.835",91.9030752121776
"0.84",92.7186629109868
"0.845",94.5375963904096
"0.85",97.0590092732007
"0.855",97.5873918291126
"0.86",98.6990555548747
"0.865",99.4384019694827
"0.87",99.8429712482624
"0.875",100.569595245581
"0.88",102.227971555369
"0.885",103.650313730617
"0.89",104.404141997801
"0.895",107.196208894029
"0.9",108.159183822574
"0.905",107.898512291532
"0.91",109.71566615143
"0.915",110.233611749205
"0.92",111.877866659186
"0.925",112.416963112348
"0.93",114.037175181008
"0.935",114.820137214359
"0.94",116.654325602342
"0.945",119.189980916137
"0.95",120.053487122176
"0.955",121.457818981558
"0.96",120.111711370527
"0.965",118.443470178045
"0.97",119.722089443371
"0.975",120.11882586987
"0.98",121.890919436582
"0.985",123.422968274045
"0.99",125.769412319063
