"","x"
"0.005",3.88292262858463
"0.01",3.96882449708771
"0.015",4.07431735747787
"0.02",4.17151177457411
"0.025",4.29286559575107
"0.03",4.37880605972397
"0.035",4.4799248952281
"0.04",4.60409770462895
"0.045",4.73401207517948
"0.05",4.87110937449121
"0.055",5.00112657082218
"0.06",5.15942707021895
"0.065",5.33690204851894
"0.07",5.51050271477817
"0.075",5.69538989434081
"0.08",5.87198942870037
"0.085",6.05067476538168
"0.09",6.23136655970117
"0.095",6.46244343657869
"0.1",6.72926245818886
"0.105",6.94943625736974
"0.11",7.21651911948122
"0.115",7.4376411003322
"0.12",7.69892921416293
"0.125",8.01114051413759
"0.13",8.36980196885563
"0.135",8.67303323599123
"0.14",8.93782282199673
"0.145",9.21105827375367
"0.15",9.61822097062804
"0.155",9.99352959588625
"0.16",10.3270835498191
"0.165",10.6394093655142
"0.17",11.0599501168301
"0.175",11.4019833820873
"0.18",11.7786128671038
"0.185",12.2440588114674
"0.19",12.8207608200867
"0.195",13.3519050905134
"0.2",13.6848045900217
"0.205",14.2394293165201
"0.21",14.8256255238999
"0.215",15.1946354615315
"0.22",15.6841058075815
"0.225",16.017307952306
"0.23",16.4854291453975
"0.235",17.0667998112355
"0.24",17.4793846025286
"0.245",17.9226400665325
"0.25",18.4500250435097
"0.255",19.1571163291254
"0.26",19.5997951506971
"0.265",20.1693672371339
"0.27",20.6341157218604
"0.275",21.436775735508
"0.28",22.0067331335505
"0.285",22.7124099307855
"0.29",23.3359215660426
"0.295",24.0619089261977
"0.3",24.400778417651
"0.305",25.2970343296767
"0.31",25.7395698404786
"0.315",26.5344697594111
"0.32",27.2659348569945
"0.325",28.2728964956785
"0.33",28.8003435998408
"0.335",29.4421310419026
"0.34",30.4574465839723
"0.345",31.3814394305076
"0.35",32.1482099469633
"0.355",32.3666266893398
"0.36",33.2945906286776
"0.365",34.1209812177476
"0.37",35.0757550343416
"0.375",36.1349791276826
"0.38",36.9792782410147
"0.385",37.6109648844553
"0.39",38.2288761915719
"0.395",39.4991156074824
"0.4",39.8807887983634
"0.405",41.1872378901254
"0.41",41.5950417087736
"0.415",43.4523286547649
"0.42",43.6912670650857
"0.425",44.3218824239205
"0.43",45.130692304976
"0.435",46.3901685759832
"0.44",46.6018666927334
"0.445",47.8357372941175
"0.45",47.5725549263617
"0.455",48.8877787561776
"0.46",50.4047312699534
"0.465",50.6519037921749
"0.47",51.3337154449479
"0.475",52.3005773173028
"0.48",53.0661621714017
"0.485",54.02093759222
"0.49",54.5034342535901
"0.495",55.3120307369536
"0.5",56.6936867140854
"0.505",58.5102351274099
"0.51",59.5096613704544
"0.515",61.0199518630863
"0.52",60.7414208620799
"0.525",61.4841987617517
"0.53",62.3674243030659
"0.535",63.459690986756
"0.54",65.0746386480784
"0.545",65.9524077999951
"0.55",66.9133538761888
"0.555",69.9561979041704
"0.56",69.4030142791897
"0.565",70.0646371784469
"0.57",71.4067066928219
"0.575",74.2599017461439
"0.58",75.9363138236179
"0.585",78.6636782190511
"0.59",78.9792418506583
"0.595",79.4452155255647
"0.6",80.4722334421663
"0.605",81.7648205084872
"0.61",83.3066652922537
"0.615",86.7962755177615
"0.62",88.2985718720766
"0.625",91.4436406584128
"0.63",90.4331523749045
"0.635",93.0363114490563
"0.64",95.0004712315144
"0.645",95.0142968331205
"0.65",97.4420615811278
"0.655",99.1018780011579
"0.66",100.038569554981
"0.665",101.601995708348
"0.67",103.47706970889
"0.675",105.183475694105
"0.68",106.013561602179
"0.685",107.471460971877
"0.69",108.978840927464
"0.695",109.260438207742
"0.7",111.980004723642
"0.705",114.201812874593
"0.71",118.535429161501
"0.715",119.183388576128
"0.72",120.919937787453
"0.725",122.033273403423
"0.73",123.425569996343
"0.735",124.620089032951
"0.74",124.69214017087
"0.745",128.741904282971
"0.75",130.304178319193
"0.755",132.390455471616
"0.76",134.130884075101
"0.765",135.312150581887
"0.77",138.2526878087
"0.775",140.56533229168
"0.78",139.431688152209
"0.785",139.886142278091
"0.79",141.757255705764
"0.795",145.826933672292
"0.8",143.320933611412
"0.805",144.261038251084
"0.81",145.553841467938
"0.815",144.926491987504
"0.82",147.610968759358
"0.825",149.298407526657
"0.83",150.378554575391
"0.835",153.789457660879
"0.84",153.510279265713
"0.845",156.850236315776
"0.85",158.614691208802
"0.855",159.916641761782
"0.86",162.40619677605
"0.865",162.372493398177
"0.87",163.887538563915
"0.875",166.736086902708
"0.88",167.387993988891
"0.885",169.193907906818
"0.89",172.480871909515
"0.895",172.677635953116
"0.9",172.302609766903
"0.905",171.856708176917
"0.91",174.285207711021
"0.915",178.864760729166
"0.92",183.915063573167
"0.925",181.590964615474
"0.93",187.612199280442
"0.935",189.148696235481
"0.94",189.009980416521
"0.945",191.900470888081
"0.95",196.363752229249
"0.955",198.596315334105
"0.96",203.547127580208
"0.965",202.878088091348
"0.97",203.26250047885
"0.975",206.45102002349
"0.98",208.658450887565
"0.985",209.75985217743
"0.99",213.109345919189
