"","x"
"0.005",3.86649387602998
"0.01",3.92365592257624
"0.015",3.998870364938
"0.02",4.07489105906836
"0.025",4.1535629426822
"0.03",4.23144946807202
"0.035",4.29994756853717
"0.04",4.38601731604354
"0.045",4.46279632254924
"0.05",4.53188335469005
"0.055",4.62180098578525
"0.06",4.733108560066
"0.065",4.85441343304983
"0.07",4.95743584220312
"0.075",5.06303934956454
"0.08",5.17671466881524
"0.085",5.28368795642995
"0.09",5.37931238604244
"0.095",5.49864614233344
"0.1",5.6128023426134
"0.105",5.72625742397694
"0.11",5.85505922629958
"0.115",5.97049284074367
"0.12",6.09140911788919
"0.125",6.23983980812035
"0.13",6.36544858239896
"0.135",6.49623061017119
"0.14",6.64625232712439
"0.145",6.78381171190438
"0.15",6.96560856695253
"0.155",7.12100825326698
"0.16",7.28913268320955
"0.165",7.46669521093848
"0.17",7.63530320605267
"0.175",7.79097540576819
"0.18",7.97688207559143
"0.185",8.14378544092398
"0.19",8.3450666899214
"0.195",8.51437667039538
"0.2",8.71317418897354
"0.205",8.90309362314674
"0.21",9.06099636580809
"0.215",9.2804147088221
"0.22",9.50906659099458
"0.225",9.73500283623176
"0.23",9.95164138400396
"0.235",10.1427861011335
"0.24",10.3608836126781
"0.245",10.6634326200949
"0.25",10.8927007728001
"0.255",11.1105379277797
"0.26",11.3584425256682
"0.265",11.5851736297224
"0.27",11.8575788223263
"0.275",12.133023002867
"0.28",12.3904968228692
"0.285",12.6791622388496
"0.29",12.9812525479222
"0.295",13.309469962585
"0.3",13.5971068957621
"0.305",13.8839170706652
"0.31",14.127509250888
"0.315",14.4247169702969
"0.32",14.7690664546286
"0.325",15.0746176179645
"0.33",15.3807805286999
"0.335",15.7577988514215
"0.34",16.1586640298388
"0.345",16.4856988802925
"0.35",16.8132407475514
"0.355",17.2097894556002
"0.36",17.6003419752694
"0.365",18.0320690143111
"0.37",18.4257152010731
"0.375",18.8595996065103
"0.38",19.2682504775951
"0.385",19.6964471896781
"0.39",20.1356518124153
"0.395",20.5556309773451
"0.4",21.0292205700032
"0.405",21.4557614035826
"0.41",21.8971116594339
"0.415",22.3813351992704
"0.42",22.9004099136252
"0.425",23.4113296652376
"0.43",23.9185360325407
"0.435",24.4632684709462
"0.44",24.9715047271773
"0.445",25.3707475962104
"0.45",25.8742743042557
"0.455",26.4123154119621
"0.46",27.0513147706583
"0.465",27.5708656491395
"0.47",28.2559435762925
"0.475",28.8897043050352
"0.48",29.3246709733675
"0.485",29.9692489937923
"0.49",30.4607266838434
"0.495",30.974536660263
"0.5",31.5482272859984
"0.505",32.0390502617602
"0.51",32.6626699368337
"0.515",33.2414839275056
"0.52",33.7898767190235
"0.525",34.4692175654025
"0.53",35.1009382765745
"0.535",35.7232573142398
"0.54",36.4151928981541
"0.545",37.1159102868321
"0.55",37.7887943028261
"0.555",38.4873006459431
"0.56",39.0464231724001
"0.565",39.7640115428133
"0.57",40.4065826828816
"0.575",41.2032898460705
"0.58",41.9028112341018
"0.585",42.7281217534279
"0.59",43.6008999318402
"0.595",44.3843691308765
"0.6",45.227669831395
"0.605",46.1053345544325
"0.61",46.9527109172497
"0.615",47.7486954501344
"0.62",48.65097510207
"0.625",49.7475161993216
"0.63",50.4870420472843
"0.635",51.3295061406344
"0.64",52.1380592824165
"0.645",52.9728420199706
"0.65",53.9469866346857
"0.655",54.8588172985035
"0.66",55.841459117913
"0.665",56.6711836402067
"0.67",57.4748187338749
"0.675",58.2853195181766
"0.68",59.1763195604826
"0.685",59.9970651799186
"0.69",60.8183633549365
"0.695",61.7342895403652
"0.7",62.7182705765401
"0.705",63.6804298865511
"0.71",64.761184147209
"0.715",65.921323228851
"0.72",66.9635518753974
"0.725",68.0325985541612
"0.73",69.1804240460916
"0.735",69.9668233873983
"0.74",70.9883945156303
"0.745",72.145365633213
"0.75",73.1137420228425
"0.755",74.1681153680242
"0.76",75.3392878195387
"0.765",76.5651263094386
"0.77",77.6493467212189
"0.775",78.8997112510686
"0.78",79.8802581542502
"0.785",81.0458171219056
"0.79",82.1646053712903
"0.795",83.1681792730993
"0.8",84.3641095239859
"0.805",85.5243536885561
"0.81",87.064095546181
"0.815",88.4985715300062
"0.82",89.5832028005367
"0.825",90.778510756981
"0.83",92.1566487009639
"0.835",93.5055807536401
"0.84",94.7923384787156
"0.845",96.0336053192818
"0.85",97.5218435420315
"0.855",98.8158625920267
"0.86",100.047041618304
"0.865",101.677091227671
"0.87",102.877136829966
"0.875",104.294677126897
"0.88",105.487601561593
"0.885",106.88821741547
"0.89",108.326183673205
"0.895",109.843322511043
"0.9",111.147871793077
"0.905",112.578780501992
"0.91",114.049015287059
"0.915",115.632304836964
"0.92",117.236485750698
"0.925",118.628276632882
"0.93",120.515727849672
"0.935",122.127589307482
"0.94",123.913350256405
"0.945",125.620687440264
"0.95",127.239091322976
"0.955",129.070033324939
"0.96",130.386629598477
"0.965",131.910103555055
"0.97",133.719584906853
"0.975",135.4866804162
"0.98",137.284207241252
"0.985",138.834852214687
"0.99",140.199790744708
