"","x"
"0.005",3.88542716357368
"0.01",3.97000740731019
"0.015",4.07064417854319
"0.02",4.16864081488803
"0.025",4.27373438617992
"0.03",4.37271292120218
"0.035",4.46224511395534
"0.04",4.57987458705827
"0.045",4.70867338212262
"0.05",4.8329423767153
"0.055",4.9763824348892
"0.06",5.11167634247074
"0.065",5.2760819692634
"0.07",5.4487332088743
"0.075",5.61701894996489
"0.08",5.78025762287239
"0.085",5.96329812578292
"0.09",6.15720909843515
"0.095",6.3790160774337
"0.1",6.59685952163116
"0.105",6.82860823468712
"0.11",7.08507394802482
"0.115",7.32018297289074
"0.12",7.58299546898114
"0.125",7.86477975548557
"0.13",8.17170778737458
"0.135",8.49569930504881
"0.14",8.83659936336375
"0.145",9.16417172018884
"0.15",9.54595873860609
"0.155",9.85031621160756
"0.16",10.1504259722925
"0.165",10.5890663432865
"0.17",10.9379256192079
"0.175",11.2999283338103
"0.18",11.731110282865
"0.185",12.1814920275978
"0.19",12.5816158051385
"0.195",13.1023934136104
"0.2",13.5486051314892
"0.205",14.1261515975389
"0.21",14.7433522048478
"0.215",15.2804714930051
"0.22",15.8517167569226
"0.225",16.366990395797
"0.23",16.962116489347
"0.235",17.4110372608139
"0.24",17.8699089796432
"0.245",18.3985581868393
"0.25",18.9555830854324
"0.255",19.6214872689031
"0.26",19.969225474246
"0.265",20.4006174400423
"0.27",20.8881511269766
"0.275",21.4707008014074
"0.28",22.1387362100159
"0.285",22.8373299876678
"0.29",23.5462507142082
"0.295",24.3257087810671
"0.3",25.0705110822373
"0.305",25.8982186971246
"0.31",26.6025456649158
"0.315",27.3067181241657
"0.32",27.8342655053546
"0.325",28.3342241007948
"0.33",29.2662494799083
"0.335",30.0151079799648
"0.34",30.8713071030773
"0.345",31.8141296387877
"0.35",32.8202133489537
"0.355",33.4058111664184
"0.36",34.125956961966
"0.365",34.8412190677614
"0.37",35.9431573267032
"0.375",36.451833396372
"0.38",37.6050870682512
"0.385",38.0022700162859
"0.39",38.9802148025555
"0.395",39.9667851423774
"0.4",40.6509635900208
"0.405",41.4662860964904
"0.41",42.6110699704737
"0.415",43.6683652923727
"0.42",44.0491881428174
"0.425",44.750126095793
"0.43",46.2112163926263
"0.435",46.7852270539998
"0.44",47.449351485734
"0.445",48.0975890580894
"0.45",49.1009389851935
"0.455",50.1508061465905
"0.46",50.8165144775022
"0.465",51.8830665045086
"0.47",52.8650945202308
"0.475",53.8498144883939
"0.48",54.5391180812512
"0.485",55.5045538599869
"0.49",56.7387204715909
"0.495",57.9560250386964
"0.5",58.3669446740396
"0.505",59.8397590594311
"0.51",60.7446053167685
"0.515",61.6877724477765
"0.52",63.0221719100761
"0.525",63.4360321032828
"0.53",64.3149006784285
"0.535",66.2553081647094
"0.54",67.3524973197841
"0.545",67.283325031421
"0.55",68.6745697033509
"0.555",69.371496069255
"0.56",69.6235854933848
"0.565",71.1309588325539
"0.57",72.7861811390925
"0.575",75.1556904364291
"0.58",76.0990605190433
"0.585",76.815255262103
"0.59",77.0013769103595
"0.595",79.6083992981848
"0.6",81.2822149484686
"0.605",82.7241778638453
"0.61",84.0714160044189
"0.615",86.1035422343122
"0.62",87.6751778614032
"0.625",88.9616083438297
"0.63",90.2296821495508
"0.635",93.4610979178576
"0.64",95.2002974522569
"0.645",97.4587877583014
"0.65",96.8064508788461
"0.655",98.2515385716439
"0.66",100.242934953119
"0.665",102.904448082545
"0.67",103.602598212479
"0.675",104.584364175592
"0.68",106.744323319087
"0.685",108.644685683876
"0.69",109.631624905995
"0.695",110.86340112278
"0.7",112.53701891714
"0.705",115.790715077747
"0.71",118.624935333518
"0.715",119.485922289675
"0.72",120.886340776345
"0.725",123.194201591651
"0.73",124.890940375441
"0.735",127.40280684074
"0.74",127.908917572543
"0.745",131.24175254568
"0.75",132.772021306676
"0.755",134.837499554271
"0.76",135.010750816019
"0.765",139.439036983705
"0.77",139.303251784554
"0.775",140.180147536173
"0.78",141.218234742953
"0.785",143.655760496534
"0.79",145.706676750623
"0.795",147.628093362763
"0.8",149.22178327932
"0.805",153.609050233632
"0.81",152.887260823598
"0.815",152.777089118661
"0.82",157.703723993943
"0.825",157.638683704653
"0.83",157.384073147484
"0.835",160.605185138634
"0.84",159.169824644063
"0.845",162.93786486614
"0.85",165.831546227609
"0.855",164.698428371349
"0.86",168.777861674671
"0.865",171.496360466344
"0.87",173.119352358329
"0.875",174.019218594361
"0.88",171.522853802694
"0.885",174.52693016003
"0.89",178.096611066964
"0.895",182.947609786993
"0.9",181.499572283427
"0.905",185.922056927146
"0.91",190.461339697347
"0.915",191.358080021634
"0.92",192.453472819659
"0.925",196.033398140764
"0.93",198.087348887962
"0.935",199.461330872175
"0.94",201.572930820522
"0.945",203.569347061033
"0.95",200.309831267922
"0.955",199.935791063233
"0.96",206.812987183314
"0.965",210.350092504576
"0.97",208.432285905097
"0.975",215.250677644275
"0.98",214.272318010761
"0.985",214.28909202524
"0.99",217.73373383984
