"","x"
"0.005",5.12277706428166
"0.01",5.25584022971702
"0.015",5.41930201003818
"0.02",5.55757474581588
"0.025",5.70612992814561
"0.03",5.88973987941827
"0.035",6.04348207098105
"0.04",6.20036109038173
"0.045",6.3904505298917
"0.05",6.61397679563617
"0.055",6.80867730676885
"0.06",7.0720248783901
"0.065",7.34166130350128
"0.07",7.60908371936214
"0.075",7.8981441438223
"0.08",8.16179010801501
"0.085",8.52640572986875
"0.09",8.81326934831286
"0.095",9.21751516734316
"0.1",9.54060039553657
"0.105",9.9321957148431
"0.11",10.3588581922968
"0.115",10.8747342443587
"0.12",11.2155292948183
"0.125",11.7659680779855
"0.13",12.3045004383613
"0.135",12.9725016479041
"0.14",13.5252766908565
"0.145",14.0761032587953
"0.15",14.6437715083356
"0.155",15.1148265190017
"0.16",15.7853998859848
"0.165",16.3954450547149
"0.17",17.1235502231268
"0.175",17.6615673418979
"0.18",18.4796190437245
"0.185",19.3483199342199
"0.19",19.9921313889492
"0.195",20.7802436462486
"0.2",21.7341433527126
"0.205",22.5725123333911
"0.21",23.8460151957084
"0.215",24.8285423494804
"0.22",25.9166062619056
"0.225",26.8364331293294
"0.23",27.647335389137
"0.235",28.8369817756935
"0.24",30.0785458360319
"0.245",31.459203676139
"0.25",32.4619861811318
"0.255",32.6439449842892
"0.26",33.7321101909704
"0.265",35.1853332988906
"0.27",37.3391460474008
"0.275",37.6634827061543
"0.28",39.5316345531861
"0.285",40.2894796828077
"0.29",41.5676927823634
"0.295",43.7609939354582
"0.3",45.143443935251
"0.305",45.8449535100032
"0.31",46.7371697081933
"0.315",47.6252358373294
"0.32",49.4225237346463
"0.325",49.8525634656912
"0.33",51.2087535862323
"0.335",53.4734873647351
"0.34",55.3668678644778
"0.345",55.941307348366
"0.35",57.3853387375239
"0.355",59.9612509468627
"0.36",61.7865063278301
"0.365",62.8490141595006
"0.37",64.3304411320696
"0.375",64.6250100367742
"0.38",67.7754901443645
"0.385",69.8506469002215
"0.39",72.2542574937449
"0.395",74.1095312997654
"0.4",75.4632079736396
"0.405",79.19575859116
"0.41",79.2471839286771
"0.415",82.0788200172631
"0.42",84.8169584365579
"0.425",86.3269998633475
"0.43",89.4293067166452
"0.435",89.9888209180437
"0.44",90.5186546884347
"0.445",92.5430697676097
"0.45",93.0981196307689
"0.455",95.9656590077631
"0.46",97.4585268133647
"0.465",101.810174995146
"0.47",102.468666469264
"0.475",100.985715070072
"0.48",105.826022081826
"0.485",108.002917816046
"0.49",111.72261853117
"0.495",111.259285499517
"0.5",110.859089757406
"0.505",114.378296398405
"0.51",117.574787210738
"0.515",123.586887207009
"0.52",125.393632064122
"0.525",126.053275374315
"0.53",124.655737985785
"0.535",125.509478777618
"0.54",129.482891131435
"0.545",130.849774319089
"0.55",134.137837081665
"0.555",133.069324725107
"0.56",135.060604184831
"0.565",140.073321807976
"0.57",144.030009288502
"0.575",140.39999453438
"0.58",141.624173987983
"0.585",145.526623131523
"0.59",150.137801342787
"0.595",154.591292927647
"0.6",157.33085106989
"0.605",161.311143197185
"0.61",165.274012445784
"0.615",168.090430112232
"0.62",171.136358668384
"0.625",176.389141617834
"0.63",178.108766110671
"0.635",180.830290253459
"0.64",186.513183794632
"0.645",187.953007761637
"0.65",192.110568736612
"0.655",198.066265765979
"0.66",199.285681932021
"0.665",203.977739970178
"0.67",208.573460452211
"0.675",208.831522690942
"0.68",216.038336143071
"0.685",219.877795517583
"0.69",221.589698859224
"0.695",226.447087244502
"0.7",234.686988469784
"0.705",238.651092240863
"0.71",239.6940638667
"0.715",240.780366607802
"0.72",245.961575709211
"0.725",251.621584666273
"0.73",255.944877621975
"0.735",263.652121087476
"0.74",266.3498779614
"0.745",268.766618951022
"0.75",269.291213402072
"0.755",271.666836416465
"0.76",280.845828210347
"0.765",288.633948870533
"0.77",288.412498240398
"0.775",295.50986916511
"0.78",300.476845664974
"0.785",295.507197345796
"0.79",301.960709696715
"0.795",309.228513922934
"0.8",313.637067054536
"0.805",316.786171967331
"0.81",310.230978204046
"0.815",321.086185115016
"0.82",323.771735613687
"0.825",331.744190018373
"0.83",333.315953056472
"0.835",334.82399711317
"0.84",333.628019861234
"0.845",327.744245826563
"0.85",340.077161022075
"0.855",347.970477156985
"0.86",347.897599726361
"0.865",351.637417640484
"0.87",354.491654176696
"0.875",357.986662029906
"0.88",363.308054990313
"0.885",370.777412665441
"0.89",383.263601040724
"0.895",381.738639742903
"0.9",382.61839790198
"0.905",396.764391256265
"0.91",398.803236540373
"0.915",396.234437157285
"0.92",397.917968111522
"0.925",408.327911939207
"0.93",407.051695431337
"0.935",402.497722333727
"0.94",416.181992605804
"0.945",428.100884381118
"0.95",422.386019386962
"0.955",438.046449957231
"0.96",434.786477041518
"0.965",440.258402027466
"0.97",452.292275932074
"0.975",440.461630113333
"0.98",451.654415881398
"0.985",453.788308399739
"0.99",468.907351850051
