,1,2,3,4
0.005,3.883798058,3.042990631,2.684287265,2.475348547
0.01,3.96931499,3.183227056,2.811917387,2.62910283
0.015,4.067405921,3.293572741,2.95288167,2.787156007
0.02,4.164259099,3.429175862,3.114766572,2.971905693
0.025,4.286869495,3.558864603,3.287527729,3.180555998
0.03,4.408538304,3.700852368,3.468963535,3.41792173
0.035,4.484815441,3.862218832,3.672972859,3.696009142
0.04,4.580092819,4.016536797,3.943180447,4.063095171
0.045,4.757331087,4.223108536,4.228164622,4.548550814
0.05,4.865483142,4.414366382,4.622356186,5.23295817
0.055,5.008076265,4.632104431,5.048948734,6.189752551
0.06,5.173678965,4.930983643,5.589378429,7.985151481
0.065,5.346620586,5.242885508,6.322346308,11.7512822
0.07,5.499835807,5.59599968,7.218588605,35.109019
0.075,5.676272587,5.963226075,8.56391638,687134.0514
0.08,5.870557816,6.405860483,10.83650416,3672521.085
0.085,6.070857529,6.928707529,15.18199802,7571329.082
0.09,6.260320534,7.547979912,28.71824931,11438893.6
0.095,6.440865043,8.304309887,21182.73382,15045720.19
0.1,6.68662535,9.303908059,1677760.602,18174775.82
0.105,6.896785319,10.31724798,4600006.416,21155136.75
0.11,7.089045259,11.57888356,8093251.159,24198329.26
0.115,7.312984688,13.61221674,11809851.1,26494778.99
0.12,7.561174708,16.07570788,15255409.6,29129078.98
0.125,7.860423708,19.00683916,18672266.63,31309747.32
0.13,8.180055767,23.81197162,22603770.29,33591242.87
0.135,8.465756639,34.27685893,25645030.59,35708649.24
0.14,8.726964943,53.6100791,28769240.97,37379437.71
0.145,8.965533747,136.9732078,32043095.86,38754679.21
0.15,9.221321074,168440.8244,35080211.22,40832256.61
0.155,9.543901089,1583375.484,38142232.52,42395260.45
0.16,9.768111652,3971832.591,39932302.96,43670192.62
0.165,9.989259646,5804402.852,41817550.82,44960259.79
0.17,10.30456916,8542701.627,44966970.14,46665010.05
0.175,10.65668003,11342571.92,46284008.39,47662157.6
0.18,10.89301308,13210835.01,49436275.94,48589667.73
0.185,11.19772719,16465290.68,51623203.2,49214880.8
0.19,11.47415603,19040288.51,53037756.1,49994878.84
0.195,11.73814033,20941717.98,55310281.06,50780203.45
0.2,12.00906012,23816825.72,56692144.2,51559926.6
0.205,12.40674012,26729538.48,58310187.38,52469030.08
0.21,12.7419129,30195688.34,59617265.74,53208325.89
0.215,13.15482492,33115031.27,60882144.63,53979146.08
0.22,13.30749166,36831761.71,61588280.6,54468143.87
0.225,13.67524071,38274281.74,63261293.28,55324403.4
0.23,13.83378387,41806636.89,65486509,56287139.67
0.235,14.22329173,44503985.77,67502223.25,57280398.88
0.24,14.63378314,48040703.69,69503120.21,58418809.29
0.245,15.06714642,50003751.01,71219054.32,59354731.84
0.25,15.22575821,52893603.31,72934446.21,60447870.27
0.255,15.4789338,55328720.12,74791388.28,61017268.81
0.26,15.66908584,58268209.76,75814426.33,61827288.65
0.265,15.98493012,61800901.67,77400331.45,62062433.8
0.27,16.05227926,65452974.25,79047801.03,62829009.21
0.275,16.32517047,67324085.5,80077401.43,63471335.78
0.28,16.8158837,70496718.19,81668562.36,64170886.39
0.285,17.02378251,71828475.13,83353782.71,65386898.44
0.29,17.32065751,75453861.87,84202656.67,65914318.32
0.295,17.93257164,78276612.37,85377837.08,67474215.31
0.3,18.37253882,81488498.41,86353523.65,68436841.67
0.305,18.57998104,82347915.81,87636457.24,68388925.59
0.31,19.03908632,85118756.1,89121038.37,69141163.45
0.315,18.9462402,86767505.03,90232909.18,69783190.83
0.32,19.13451058,88196529.6,91414347.44,70449950.87
0.325,19.61351946,89449651.19,92661940.14,70880353.65
0.33,19.92380063,92679824.09,94023044.3,71453269.52
0.335,20.22941185,94894204.47,95120524.29,72163580.16
0.34,20.56714559,96647958.88,96561907.62,72891710.09
0.345,20.91509578,99650983.57,97321956.84,73571667.02
0.35,21.3714265,102450330.5,99195018.45,74830153.96
0.355,21.52218904,104301175.9,99735123.12,75278929.63
0.36,21.93689226,106360244.2,100664767.8,75315092.43
0.365,22.29901528,107884590.8,101919134.2,76432127.63
0.37,22.68040772,111372559.3,103193180.9,77320787.02
0.375,22.91875591,112096142.8,103901836.6,77706130.34
0.38,22.90371934,112530549.5,105075247.9,78755263.39
0.385,23.66845115,114086444.4,105519605.4,79463300.12
0.39,24.1049673,116069863.3,106833116.8,80192477.01
0.395,24.47020359,118248015.1,107788739.1,80550139.75
0.4,25.12480266,119995661.5,110020676.5,81409805.84
0.405,25.52611648,122681356.5,109974012.8,82168543.33
0.41,25.59589054,125678299.4,111014649.9,82616043.89
0.415,25.93792713,129255744.8,111627415.1,83666747.24
0.42,26.5251787,131360605.4,113404991,84494598.4
0.425,27.11535933,133921972.5,114860651.5,85178679.63
0.43,27.42185756,134453208.6,116171933,85937387.82
0.435,27.62690177,137516620.6,117503246.2,86863243.29
0.44,27.77276171,136958995.1,118948688.4,87869531.93
0.445,28.23207495,139317375.6,120523771.2,88890819.12
0.45,28.30772495,141113290.1,121803787.4,89916194.04
0.455,28.94050912,142561595.9,122697654.4,90549653.15
0.46,29.01648168,142373736.6,123484591,90779002.59
0.465,29.21446522,143985925.8,125039677.1,91644914.63
0.47,29.67324165,145352783,126394073.5,92647592.26
0.475,30.00505888,146057920.8,127651862.6,92851880.16
0.48,29.89109945,147190993.7,128237763.8,93204058.06
0.485,30.20803295,151480872,130113396.7,94549540.49
0.49,30.27603916,152172376.2,130775680.2,95299415.55
0.495,31.06758597,154392730.7,131741163,96340534.52
0.5,30.70175681,155179299.6,131797903.6,96903972.46
0.505,30.60213386,158780204.1,133076730.8,97231605.75
0.51,30.71899662,159119755.5,134664381.9,98283929.91
0.515,31.23772055,159886603.3,135472915.1,98450720.08
0.52,31.49483916,163670053.5,136071684.4,99223939.72
0.525,31.94878619,163556678.6,137683041.2,99750942.83
0.53,32.40271823,165167480.2,139455325,100607875.6
0.535,32.30726941,166204528.6,140654807.9,101859905.9
0.54,32.3121616,168639350,142585691.6,102998108.1
0.545,33.26221977,171442292.1,142823599.3,103286737.1
0.55,33.4833601,172562137.5,143598466.9,103702891.3
0.555,33.72558589,175455738.1,145868102.3,104348139.3
0.56,34.05795941,175797921.9,147559666.8,105439911.6
0.565,34.2835146,177749329.4,149858403.6,106248939
0.57,34.44128972,179216060.3,151480251.4,107186522.3
0.575,35.38992284,180319172.4,152600918.9,108504896
0.58,36.35336266,185217494.9,154756227.4,109266806
0.585,36.9640041,187382939.7,156211209,110067449.1
0.59,37.28986819,187662319.6,158137231.6,110855273.4
0.595,37.24887185,189417828.4,160326034.9,112079980.9
0.6,37.92463793,191856968.4,160848017.9,112741432.5
0.605,38.52511537,194554931.6,162126988.6,113620055
0.61,38.22955775,195493582.4,162580237.4,115342295.1
0.615,38.33613141,195327493.6,164226239.6,116659211.8
0.62,39.02840232,197676443.1,166048152.5,118325372.8
0.625,39.85000326,199865219.9,166764255.8,119470800.8
0.63,40.27704362,204825742.7,168871075,120395506.3
