"","2","3","4"
"0.005",0.0022551717584331,0.00209693795692157,0.00198613186452112
"0.01",0.00225581418442899,0.00217685175385765,0.00206456368787446
"0.015",0.00225710599611901,0.00229778445520251,0.00215034540221669
"0.02",0.00231363262930393,0.00232498778961169,0.0023214162585478
"0.025",0.00242638154504937,0.00236484805187147,0.00261464871459953
"0.03",0.00252709528172376,0.00258917924854265,0.00277833140026947
"0.035",0.00262317237263682,0.00280694040447496,0.00306644730641513
"0.04",0.00269235658442596,0.00300324137708444,0.00338905037220387
"0.045",0.00278653771142041,0.00315933613037885,0.00411626578131014
"0.05",0.00295235568112788,0.00336001340145856,0.00545082823120894
"0.055",0.00303475260737778,0.00406367786108819,0.00708364108461949
"0.06",0.00317312231616305,0.00450032521935395,0.0122153790361453
"0.065",0.00357821638438449,0.00487849278365104,0.0699336986450954
"0.07",0.00394303189370831,0.00693860860485706,461.060414637371
"0.075",0.00409796666941778,0.00955733128172719,2772.79692548378
"0.08",0.00429538011435626,0.0117400585512745,4243.89310453611
"0.085",0.00494711660078044,0.0368226255464983,8210.81148620351
"0.09",0.00535442900326428,23.217532236303,10930.7286985731
"0.095",0.00654855368205604,1053.14032311033,10997.9852021201
"0.1",0.00706633642614202,3351.4921327994,15194.0343088547
"0.105",0.00695938247645165,3846.0078406581,17718.2388352727
"0.11",0.0067313157316605,4695.30799150577,20015.229893543
"0.115",0.0074656296512369,9309.27270235974,21253.5945297175
"0.12",0.00796962175257921,14437.3854225529,22286.1873917467
"0.125",0.00850505174877544,13016.1517566203,22685.8516554632
"0.13",0.00933219190393464,12216.6249344601,23270.2310272173
"0.135",0.013943756392682,14845.1718174816,22574.296772803
"0.14",0.016353560754204,18916.1781505654,23526.0179146957
"0.145",0.0188074966651429,19978.3913504016,25667.037673197
"0.15",0.0235192239331327,25986.3646569578,28028.8864028009
"0.155",0.0617976330041209,26742.0079967752,26836.9326828795
"0.16",16.962179164181,30001.9542679494,26353.3613542704
"0.165",150.159526000639,29082.2915134744,26427.6099162822
"0.17",454.597792567879,29113.1672618444,26634.5738170354
"0.175",3292.3970046785,30285.9837733317,26511.0507912693
"0.18",3248.74681621433,29804.7511876862,25922.6658457479
"0.185",2914.16132453407,29520.2189965112,26963.2688851871
"0.19",4260.00788945055,32483.1603109353,28401.3724113598
"0.195",6309.7526876433,32994.83985888,29769.2549337304
"0.2",9768.15058839579,35163.6921981757,32539.7099203648
"0.205",14724.0261749041,34329.7314021758,31532.6434559145
"0.21",15085.4514458699,35422.7925900341,30809.0448806452
"0.215",19064.1525141434,37079.018375508,32243.8186295454
"0.22",20653.3354262203,39051.2731802661,35098.3330283991
"0.225",21773.7108385092,39977.4472640134,35549.1765318116
"0.23",22176.4803653256,43010.6596366254,36840.5527031355
"0.235",23536.2575887833,46533.5861432211,37356.5528464407
"0.24",24923.4957910935,45454.7731041612,37313.1637881892
