"","2","3","4"
"0.005",0.00378429945556566,0.00324699967735497,0.00292741611953244
"0.01",0.00396708600012692,0.0034268317878612,0.0031268248361831
"0.015",0.00410851242326245,0.00362172210434118,0.00333896324999383
"0.02",0.00428316061006336,0.00382912161098012,0.00359507439951683
"0.025",0.0044902271323583,0.00407085719875943,0.00384985998552683
"0.03",0.00470067452891312,0.00432066585734882,0.00420406915741489
"0.035",0.00493962037465984,0.00461988995768941,0.00461749301139767
"0.04",0.00523909434767637,0.0050056670999988,0.00522532945115687
"0.045",0.00549884937052119,0.0055284147984705,0.00602594020752866
"0.05",0.00590131818238501,0.00610859176331047,0.00729287684727851
"0.055",0.00628603523024251,0.00693085638722436,0.00978961133245258
"0.06",0.00678501688106331,0.00810816455296998,0.0201371906585953
"0.065",0.00729749941013062,0.00995593519383862,336.28939940588
"0.07",0.0079149524943154,0.0134600721422011,4393.64233381873
"0.075",0.00873255262893619,0.0210175064871873,10112.7971783731
"0.08",0.00962169739578126,0.109658075725088,16210.8588244219
"0.085",0.0109604077547187,1369.32663356961,22195.4231046769
"0.09",0.0125009070884134,5809.37320744197,25975.0641660631
"0.095",0.0146891664153662,11392.9185816859,29904.6616776426
"0.1",0.019341865794677,17083.555589147,33537.1742327106
"0.105",0.0261856494545931,22385.1598137303,38128.9921382075
"0.11",0.0400324611569231,29074.3838547356,41676.280441312
"0.115",0.114530599621706,33978.0443256499,44753.5615443367
"0.12",450.65305702489,38888.2724848686,47516.6328588732
"0.125",2261.58059543875,42570.4247610373,49419.7112322806
"0.13",6247.36346713254,47950.0849207874,51923.2011155549
"0.135",11158.0893751581,52242.9473966713,53845.0374502568
"0.14",16367.5471051085,55791.2941755536,56308.2678816832
"0.145",21721.7970622755,59675.0639576851,57879.3947470669
"0.15",25893.1777709843,63315.6292527318,59712.1471156489
"0.155",31996.3231779978,66875.9267924882,61712.5644492517
"0.16",39243.9371501053,70515.5884213952,63300.7618054652
"0.165",42597.9097488785,72926.002401548,65082.2255182869
"0.17",48356.3866766254,77090.9437878081,66551.6130529271
"0.175",53970.9580189116,79082.960437418,68056.3454743979
"0.18",58032.1862761238,82105.0254404477,69408.3815222592
"0.185",62542.3300261178,84077.5869291285,69899.3351432485
"0.19",66329.4840170995,85759.5755859929,70346.0308727564
"0.195",70835.97388075,88107.875170936,71506.6099253286
"0.2",75482.1612464064,89961.564655016,72030.7454129157
"0.205",79833.6069643677,91453.572249791,73471.9183546482
"0.21",85117.4852792248,93740.979743106,74716.851443543
"0.215",89534.585125024,95274.3465323833,75513.0853769791
"0.22",93782.2639320709,96727.1605079622,76937.6215711755
"0.225",94389.0215525679,98588.079131027,78564.0486583623
"0.23",100544.554915239,101675.088660552,79449.1704861771
"0.235",104850.291757224,105920.608737816,80436.8209455737
"0.24",112539.887053256,108322.934079048,82178.028432572
"0.245",114956.25400025,110479.146570129,84036.4505197862
"0.25",118394.361320334,112802.222060833,84823.0110832739
"0.255",122602.786654164,115628.2975937,86069.0642204604
"0.26",125457.534360103,116589.444837549,87103.2377096635
"0.265",132305.407567948,118148.561058796,87749.1894633051
"0.27",138230.077773885,120042.207550498,89131.364355902
"0.275",140932.232102603,121926.717603632,89642.4134881425
"0.28",145750.985997097,123620.241550942,90829.2428506905
"0.285",145689.908534605,125395.365940235,92215.3776388098
"0.29",151839.350905715,125984.613457162,93672.1651450744
"0.295",157865.634430756,126657.111083192,94881.4902755742
"0.3",159812.828710144,128745.657237541,95293.8331314982
"0.305",161393.571735588,129944.487740112,95531.3260800179
"0.31",168081.007971064,133011.764997035,96348.0237067022
"0.315",173271.685195078,135027.1495161,97553.5082838978
"0.32",175312.940141815,137434.797767686,98998.6294693555
"0.325",174307.62672321,138733.168219719,99878.7303600269
"0.33",175263.235095397,140543.218061237,100668.361839984
"0.335",183394.237208485,141560.576826425,101745.8519912
"0.34",187125.081791105,144185.482995456,103576.235418701
"0.345",191932.970705227,145431.553371065,104626.976911876
"0.35",194233.956871112,148143.847601165,106849.265296327
"0.355",197141.894344514,148892.127303146,107047.513752783
"0.36",200920.13925712,150411.343089838,108096.989688976
"0.365",200836.941600048,151063.185001707,108537.851777278
"0.37",206891.857538731,152499.180206755,108904.48390505
"0.375",210079.319856476,154510.631558584,109834.847333155
"0.38",215012.464468639,155668.810980674,110398.810487307
"0.385",217489.282580624,157135.137731321,112072.78434234
"0.39",219537.208070534,158741.61786308,112068.162086048
"0.395",224383.758604746,159810.633177978,113314.860836134
"0.4",224960.904982173,163035.913619229,113591.844635426
"0.405",227456.196793366,164067.813082727,114248.615794115
"0.41",230739.559162638,166566.8243164,115843.926627452
"0.415",235156.546848254,167883.185063914,117135.851262375
"0.42",237552.09455512,170562.250244093,119260.513289217
"0.425",242475.858813161,172394.691781618,120740.913851089
"0.43",245306.453047455,174900.466925463,121639.034328942
"0.435",250884.319013378,177119.776694534,122542.150970931
"0.44",251330.735982978,179508.926821312,124405.551663981
"0.445",257359.637642991,182136.647130656,125821.7059958
"0.45",261222.249677025,183065.921884795,126925.186833631
"0.455",263169.752599546,183881.637290661,128109.49851319
"0.46",261887.279745657,183847.883307825,129261.138030876
"0.465",260549.536603866,184888.089577934,129118.053041055
"0.47",264861.391662301,188574.816637177,129917.386033467
"0.475",265185.624980782,190004.103552924,129690.800030495
"0.48",269409.536972402,191322.323481274,129953.910799942
"0.485",275123.283415874,193004.120454592,131788.382402723
"0.49",275689.45358403,194224.887688503,133468.580275245
"0.495",278033.086001376,197328.138261224,134674.599776656
"0.5",279063.53788006,195740.582206692,135712.648666934
"0.505",287881.295819209,198257.076076279,137322.363930586
"0.51",289284.437981099,201160.306469296,137595.795356019
"0.515",293173.679779784,202197.699047065,138440.741080373
"0.52",296878.570668157,205499.948486088,139923.592761904
"0.525",294913.306370895,205233.293708701,141176.224786692
"0.53",298551.335958943,206834.66576624,143025.625312674
"0.535",305130.283045616,208623.613099016,142666.523012393
"0.54",310966.197951271,212809.819461126,145900.061514709
"0.545",312150.823331505,213469.331055877,146361.721971039
"0.55",314792.050330033,214896.375359076,147330.101230234
"0.555",316324.168742944,216734.328639324,147974.147064433
"0.56",315475.71734379,219615.0585868,149069.005634662
"0.565",318810.501007138,222545.502612792,151340.902483402
"0.57",326722.702630865,224173.285583902,152634.963943223
"0.575",328633.999799259,226655.546398386,154183.138550736
"0.58",336073.285735543,229919.454336471,156525.828480196
"0.585",339593.395347791,232207.18396899,158150.204671376
"0.59",340146.074350227,234071.057407336,159156.326062627
"0.595",348628.06053689,237005.989354556,161474.17632749
"0.6",351637.058904533,238974.501842082,162472.33702524
"0.605",354340.983781353,241629.135255914,165974.346900473
"0.61",358342.5125246,244395.990018598,166469.746231045
"0.615",355945.663822299,247928.309781005,168608.270077102
"0.62",360301.841979514,251431.653578408,171076.698043906
"0.625",361686.760176364,253361.145777502,172396.261205945
"0.63",372541.950367464,255455.184825464,173582.651245154
"0.635",380833.353835867,258540.436240815,174593.223066496
"0.64",385377.402742405,260712.176169296,176195.160330591
"0.645",384958.598626878,265070.875379037,177400.159662562
"0.65",391837.475607114,266052.429822287,178273.636481747
"0.655",394742.426060413,269350.510845832,180421.80507028
"0.66",392872.590336855,272097.175253457,182314.597579675
