"","adapt.1","adapt.2","adapt.3","adapt.4"
"1",0,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",0,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0,0
"10",0,0,0.002,0
"11",0,0,0.002,0
"12",0,0,0.002,0
"13",0,0,0,0
"14",0,0.002,0.002,0.002
"15",0,0.002,0.004,0.002
"16",0.008,0.002,0.006,0.002
"17",0.008,0.004,0.006,0.002
"18",0.01,0.006,0.006,0.002
"19",0.01,0.006,0.016,0.002
"20",0.008,0.006,0.018,0.002
"21",0.014,0.01,0.018,0.004
"22",0.012,0.012,0.022,0.004
"23",0.014,0.01,0.028,0.006
"24",0.016,0.014,0.032,0.008
"25",0.016,0.018,0.044,0.012
"26",0.02,0.022,0.046,0.014
"27",0.016,0.022,0.048,0.016
"28",0.022,0.02,0.05,0.02
"29",0.03,0.032,0.05,0.024
"30",0.038,0.032,0.05,0.032
"31",0.044,0.034,0.052,0.038
"32",0.05,0.034,0.052,0.042
"33",0.05,0.042,0.054,0.044
"34",0.056,0.044,0.052,0.048
"35",0.056,0.042,0.056,0.048
"36",0.062,0.044,0.064,0.052
"37",0.072,0.05,0.07,0.052
"38",0.07,0.05,0.072,0.058
"39",0.07,0.048,0.074,0.06
"40",0.072,0.056,0.078,0.06
"41",0.074,0.054,0.078,0.062
"42",0.09,0.062,0.074,0.064
"43",0.094,0.064,0.068,0.068
"44",0.092,0.066,0.074,0.072
"45",0.094,0.068,0.08,0.072
"46",0.094,0.076,0.078,0.074
"47",0.09,0.078,0.08,0.078
"48",0.09,0.08,0.084,0.082
"49",0.094,0.084,0.084,0.078
"50",0.094,0.086,0.09,0.084
"51",0.086,0.09,0.092,0.092
"52",0.09,0.09,0.092,0.094
"53",0.098,0.092,0.094,0.098
"54",0.098,0.096,0.1,0.108
"55",0.1,0.104,0.1,0.122
"56",0.106,0.11,0.104,0.128
"57",0.108,0.12,0.11,0.136
"58",0.114,0.124,0.112,0.14
"59",0.114,0.126,0.12,0.144
"60",0.118,0.138,0.116,0.146
