"","over.1","over.2","over.3","over.4"
"1",0,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",0,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0.004,0
"10",0,0,0.004,0.002
"11",0,0,0.004,0.002
"12",0,0.002,0.002,0.002
"13",0.002,0.002,0.004,0
"14",0.004,0.004,0.004,0
"15",0.006,0.01,0.006,0.004
"16",0.01,0.012,0.006,0.004
"17",0.008,0.012,0.008,0.004
"18",0.008,0.014,0.01,0.006
"19",0.012,0.014,0.016,0.004
"20",0.014,0.02,0.02,0.008
"21",0.016,0.022,0.022,0.01
"22",0.02,0.022,0.026,0.018
"23",0.026,0.026,0.032,0.02
"24",0.034,0.032,0.042,0.022
"25",0.036,0.034,0.046,0.024
"26",0.04,0.042,0.054,0.028
"27",0.044,0.044,0.06,0.034
"28",0.048,0.046,0.064,0.036
"29",0.05,0.05,0.064,0.04
"30",0.058,0.052,0.07,0.048
"31",0.06,0.058,0.074,0.058
"32",0.064,0.054,0.078,0.062
"33",0.066,0.062,0.084,0.06
"34",0.074,0.068,0.09,0.066
"35",0.092,0.072,0.094,0.076
"36",0.096,0.076,0.106,0.084
"37",0.1,0.084,0.116,0.088
"38",0.11,0.086,0.118,0.09
"39",0.116,0.088,0.126,0.094
"40",0.124,0.096,0.13,0.098
"41",0.126,0.098,0.136,0.098
"42",0.128,0.106,0.138,0.098
"43",0.132,0.11,0.134,0.098
"44",0.138,0.11,0.13,0.098
"45",0.144,0.114,0.138,0.108
"46",0.144,0.108,0.15,0.114
"47",0.142,0.114,0.154,0.124
"48",0.146,0.118,0.15,0.132
"49",0.146,0.122,0.154,0.136
"50",0.156,0.124,0.164,0.144
"51",0.154,0.128,0.166,0.154
"52",0.156,0.14,0.168,0.158
"53",0.162,0.148,0.168,0.166
"54",0.17,0.154,0.17,0.164
"55",0.178,0.158,0.176,0.168
"56",0.182,0.168,0.176,0.172
"57",0.186,0.174,0.178,0.182
"58",0.19,0.176,0.184,0.184
"59",0.196,0.176,0.188,0.182
