"","zero.1","zero.2","zero.3","zero.4"
"1",0,0,0,0
"2",0,0,0,0
"3",0,0,0,0
"4",0,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0,0
"10",0,2e-05,2e-05,2e-05
"11",0,6e-05,6e-05,2e-05
"12",6e-05,8e-05,0.00016,2e-05
"13",0.00014,2e-04,3e-04,0.00012
"14",0.00028,0.00038,0.00042,4e-04
"15",0.00044,0.00062,0.00056,6e-04
"16",0.00076,0.00102,8e-04,0.00108
"17",0.00102,0.00122,0.0011,0.00158
"18",0.0014,0.00178,0.00142,0.00196
"19",0.00192,0.00226,0.00188,0.00242
"20",0.00252,0.00288,0.00274,0.00286
"21",0.00332,0.00362,0.0035,0.00352
"22",0.00434,0.00438,0.00456,0.00448
"23",0.00508,0.00536,0.00536,0.0053
"24",0.00616,0.00592,0.0063,0.0062
"25",0.00754,0.00718,0.00718,0.00732
"26",0.00838,0.00838,0.0083,0.00854
"27",0.0096,0.00982,0.00968,0.0101
"28",0.01138,0.01092,0.01092,0.0112
"29",0.0132,0.01244,0.01256,0.01304
"30",0.01464,0.01404,0.01434,0.01442
"31",0.01632,0.01516,0.01614,0.01574
"32",0.01808,0.01684,0.01816,0.01784
"33",0.0198,0.01902,0.02004,0.01982
"34",0.02186,0.02072,0.02216,0.02148
"35",0.02388,0.0226,0.02396,0.02346
"36",0.02582,0.0247,0.02586,0.02584
"37",0.02788,0.02662,0.02792,0.02768
"38",0.0302,0.0287,0.02986,0.02958
"39",0.0325,0.0309,0.03248,0.03186
"40",0.03418,0.03318,0.03474,0.0337
"41",0.03618,0.03546,0.037,0.03532
"42",0.03942,0.03726,0.03884,0.03764
"43",0.04212,0.03962,0.04094,0.04016
"44",0.04494,0.04186,0.04284,0.0427
"45",0.047,0.04498,0.04528,0.04454
"46",0.04968,0.0476,0.0476,0.04666
"47",0.05192,0.05012,0.05004,0.04886
"48",0.05448,0.05252,0.05256,0.05118
"49",0.0574,0.05542,0.05504,0.05348
"50",0.05986,0.05808,0.05776,0.05636
