"lug_type","cv","rule","rate","big_T","rho","model","num_sims"
"mother","fixed","mse",0.185,200,0.9,"AR1_HOMO",1000
"mother","fixed","ft",0.262,200,0.9,"AR1_HOMO",1000
"mother","fixed","opt",0.213,200,0.9,"AR1_HOMO",1000
"zero","fixed","mse",0.142,200,0.9,"AR1_HOMO",1000
"zero","fixed","ft",0.189,200,0.9,"AR1_HOMO",1000
"zero","fixed","opt",0.151,200,0.9,"AR1_HOMO",1000
"mother","small","mse",0.22,200,0.9,"AR1_HOMO",1000
"mother","small","ft",0.274,200,0.9,"AR1_HOMO",1000
"mother","small","opt",0.233,200,0.9,"AR1_HOMO",1000
"zero","small","mse",0.193,200,0.9,"AR1_HOMO",1000
"zero","small","ft",0.212,200,0.9,"AR1_HOMO",1000
"zero","small","opt",0.186,200,0.9,"AR1_HOMO",1000
"mother","fixed","mse",0.198,200,0.9,"AR1_HET",1000
"mother","fixed","ft",0.272,200,0.9,"AR1_HET",1000
"mother","fixed","opt",0.219,200,0.9,"AR1_HET",1000
"zero","fixed","mse",0.136,200,0.9,"AR1_HET",1000
"zero","fixed","ft",0.198,200,0.9,"AR1_HET",1000
"zero","fixed","opt",0.157,200,0.9,"AR1_HET",1000
"mother","small","mse",0.233,200,0.9,"AR1_HET",1000
"mother","small","ft",0.286,200,0.9,"AR1_HET",1000
"mother","small","opt",0.247,200,0.9,"AR1_HET",1000
"zero","small","mse",0.214,200,0.9,"AR1_HET",1000
"zero","small","ft",0.218,200,0.9,"AR1_HET",1000
"zero","small","opt",0.204,200,0.9,"AR1_HET",1000
"mother","fixed","mse",0.172,200,0.9,"ARMA_G",1000
"mother","fixed","ft",0.24,200,0.9,"ARMA_G",1000
"mother","fixed","opt",0.197,200,0.9,"ARMA_G",1000
"zero","fixed","mse",0.121,200,0.9,"ARMA_G",1000
"zero","fixed","ft",0.175,200,0.9,"ARMA_G",1000
"zero","fixed","opt",0.142,200,0.9,"ARMA_G",1000
"mother","small","mse",0.218,200,0.9,"ARMA_G",1000
"mother","small","ft",0.255,200,0.9,"ARMA_G",1000
"mother","small","opt",0.227,200,0.9,"ARMA_G",1000
"zero","small","mse",0.197,200,0.9,"ARMA_G",1000
"zero","small","ft",0.203,200,0.9,"ARMA_G",1000
"zero","small","opt",0.185,200,0.9,"ARMA_G",1000
"mother","fixed","mse",0.187,200,0.9,"ARMA_L",1000
"mother","fixed","ft",0.252,200,0.9,"ARMA_L",1000
"mother","fixed","opt",0.205,200,0.9,"ARMA_L",1000
"zero","fixed","mse",0.136,200,0.9,"ARMA_L",1000
"zero","fixed","ft",0.181,200,0.9,"ARMA_L",1000
"zero","fixed","opt",0.148,200,0.9,"ARMA_L",1000
"mother","small","mse",0.218,200,0.9,"ARMA_L",1000
"mother","small","ft",0.262,200,0.9,"ARMA_L",1000
"mother","small","opt",0.23,200,0.9,"ARMA_L",1000
"zero","small","mse",0.199,200,0.9,"ARMA_L",1000
"zero","small","ft",0.209,200,0.9,"ARMA_L",1000
"zero","small","opt",0.197,200,0.9,"ARMA_L",1000
"mother","fixed","mse",0.12,200,0.75,"AR1_HOMO",1000
"mother","fixed","ft",0.207,200,0.75,"AR1_HOMO",1000
"mother","fixed","opt",0.159,200,0.75,"AR1_HOMO",1000
"zero","fixed","mse",0.085,200,0.75,"AR1_HOMO",1000
"zero","fixed","ft",0.148,200,0.75,"AR1_HOMO",1000
"zero","fixed","opt",0.104,200,0.75,"AR1_HOMO",1000
"mother","small","mse",0.14,200,0.75,"AR1_HOMO",1000
"mother","small","ft",0.208,200,0.75,"AR1_HOMO",1000
"mother","small","opt",0.167,200,0.75,"AR1_HOMO",1000
"zero","small","mse",0.117,200,0.75,"AR1_HOMO",1000
"zero","small","ft",0.159,200,0.75,"AR1_HOMO",1000
"zero","small","opt",0.122,200,0.75,"AR1_HOMO",1000
"mother","fixed","mse",0.105,200,0.75,"AR1_HET",1000
"mother","fixed","ft",0.179,200,0.75,"AR1_HET",1000
"mother","fixed","opt",0.126,200,0.75,"AR1_HET",1000
"zero","fixed","mse",0.077,200,0.75,"AR1_HET",1000
"zero","fixed","ft",0.119,200,0.75,"AR1_HET",1000
"zero","fixed","opt",0.087,200,0.75,"AR1_HET",1000
"mother","small","mse",0.116,200,0.75,"AR1_HET",1000
"mother","small","ft",0.183,200,0.75,"AR1_HET",1000
"mother","small","opt",0.129,200,0.75,"AR1_HET",1000
"zero","small","mse",0.101,200,0.75,"AR1_HET",1000
"zero","small","ft",0.123,200,0.75,"AR1_HET",1000
"zero","small","opt",0.104,200,0.75,"AR1_HET",1000
"mother","fixed","mse",0.108,200,0.75,"ARMA_G",1000
"mother","fixed","ft",0.196,200,0.75,"ARMA_G",1000
"mother","fixed","opt",0.129,200,0.75,"ARMA_G",1000
"zero","fixed","mse",0.088,200,0.75,"ARMA_G",1000
"zero","fixed","ft",0.132,200,0.75,"ARMA_G",1000
"zero","fixed","opt",0.092,200,0.75,"ARMA_G",1000
"mother","small","mse",0.129,200,0.75,"ARMA_G",1000
"mother","small","ft",0.201,200,0.75,"ARMA_G",1000
"mother","small","opt",0.14,200,0.75,"ARMA_G",1000
"zero","small","mse",0.113,200,0.75,"ARMA_G",1000
"zero","small","ft",0.14,200,0.75,"ARMA_G",1000
"zero","small","opt",0.109,200,0.75,"ARMA_G",1000
"mother","fixed","mse",0.095,200,0.75,"ARMA_L",1000
"mother","fixed","ft",0.189,200,0.75,"ARMA_L",1000
"mother","fixed","opt",0.125,200,0.75,"ARMA_L",1000
"zero","fixed","mse",0.067,200,0.75,"ARMA_L",1000
"zero","fixed","ft",0.132,200,0.75,"ARMA_L",1000
"zero","fixed","opt",0.084,200,0.75,"ARMA_L",1000
"mother","small","mse",0.119,200,0.75,"ARMA_L",1000
"mother","small","ft",0.191,200,0.75,"ARMA_L",1000
"mother","small","opt",0.137,200,0.75,"ARMA_L",1000
"zero","small","mse",0.106,200,0.75,"ARMA_L",1000
"zero","small","ft",0.136,200,0.75,"ARMA_L",1000
"zero","small","opt",0.098,200,0.75,"ARMA_L",1000
"mother","fixed","mse",0.087,200,0.5,"AR1_HOMO",1000
"mother","fixed","ft",0.108,200,0.5,"AR1_HOMO",1000
"mother","fixed","opt",0.11,200,0.5,"AR1_HOMO",1000
"zero","fixed","mse",0.068,200,0.5,"AR1_HOMO",1000
"zero","fixed","ft",0.076,200,0.5,"AR1_HOMO",1000
"zero","fixed","opt",0.089,200,0.5,"AR1_HOMO",1000
"mother","small","mse",0.094,200,0.5,"AR1_HOMO",1000
"mother","small","ft",0.109,200,0.5,"AR1_HOMO",1000
"mother","small","opt",0.112,200,0.5,"AR1_HOMO",1000
"zero","small","mse",0.086,200,0.5,"AR1_HOMO",1000
"zero","small","ft",0.079,200,0.5,"AR1_HOMO",1000
"zero","small","opt",0.093,200,0.5,"AR1_HOMO",1000
"mother","fixed","mse",0.085,200,0.5,"AR1_HET",1000
"mother","fixed","ft",0.111,200,0.5,"AR1_HET",1000
"mother","fixed","opt",0.114,200,0.5,"AR1_HET",1000
"zero","fixed","mse",0.064,200,0.5,"AR1_HET",1000
